Sigle;Titel;von_;bis_;von;bis;Lizenz;Stadt;Region;National;Leitmedium
fom;FOCUS-MONEY;;;2000;2022;NA;;;;
fra;frau aktuell;;;2018;2022;NA;;;;
frt;Fränkischer Tag;;;2000;2022;NA;Bamberg;BY;;
gal;Gala;;;2015;2022;NA;;;;
gaz;General-Anzeiger Bonn;;;2000;2022;NA;Bonn;NW;;
ge;Grenz-Echo;;;1999;2019;NA;;;;
ges;GEO Saison;;;2015;2022;NA;;;;
gng;Gong;;;2015;2022;NA;;;;
gob;Das goldene Blatt;;;2015;2022;NA;;;;
gsp;GEO Spezial;;;2015;2022;NA;;;;
gta;Göttinger Tageblatt;;;2015;2022;NA;Göttingen;NI;;
gtb;Gelnhäuser Tageblatt;;;2004;2017;NA;Gelnhaus;HE;;
hab;Handelsblatt;;;2000;2022;NA;;;1;
hau;Häuser;;;2018;2022;NA;;;;
hfz;Hofheimer Zeitung;;;2003;2022;NA;Hofheim am Taunus;HE;;
hhz;Hochheimer Zeitung;;;2004;2022;NA;Hochheim am Main;HE;;
hkr;Höchster Kreisblatt;;;2014;2022;NA;Frankfurt am Main;HE;;
hrz;HÖRZU;;;2007;2022;NA;;;;
hst;Heilbronner Stimme;;;2009;2022;NA;Heilbronn;BW;;
htb;Hohenloher Tagblatt;;;2014;2022;NA;Crailsheim;BW;;
hzs;Herzstück;;;2018;2022;NA;;;;
hzw;Hörzu Wissen;;;2018;2022;NA;;;;
hzz;Hohenzollerische Zeitung;;;2014;2022;NA;Hechingen;BW;;
iX;iX 2020;;;2022;2022;NA;;;;
kaz;Kreis-Anzeiger;;;2004;2022;NA;Nidda;HE;;
klz;Kleine Zeitung;;;2002;2022;NA;;;;
ksa;Kölner-Stadtanzeiger;;;2000;2022;NA;Köln;NW;;
ktz;Neue Kärntner Tageszeitung;;;2004;2014;NA;;;;
kur;Kurier (Österreich);;;2002;2022;NA;;;;
lah;Living at Home;;;2015;2022;NA;;;;
lan;Lauterbacher Anzeiger;;;2004;2022;NA;Lauterbach;HE;;
laz;Lampertheimer Zeitung;;;2007;2022;NA;Lampertheim;HE;;
lmd;Le Monde diplomatique;;;2020;2022;NA;;;;
lru;Lausitzer Rundschau;;;2000;2022;NA;Frankfurt (Oder);BB;;
msp;Main-Spitze;;;1998;2022;NA;Rüsselsheim am Main;HE;;
mtz;Motortechnische Zeitschrift;;;2007;2016;NA;;;;
ndo;Nido;;;2015;2022;NA;;;;
neo;NEON;;;2015;2018;NA;;;;
noz;Neue Osnabrücker Zeitung;;;2012;2022;NA;Osnabrück;NI;;
nwt;Neue Welt;;;2015;2022;NA;;;;
osz;Ostsee-Zeitung;;;2016;2022;NA;Rostock;MV;;
paz;Peiner Allgemeine Zeitung;;;2015;2022;NA;Peine;NI;;
ph;Psychologie Heute;;;2005;2011;NA;;;;
pmm;P.M. Magazin;;;2015;2022;NA;;;;
scw;Schöner Wohnen;;;2015;2022;NA;;;;
stb;Straubinger Tagblatt;;;2014;2022;NA;Straubing;BY;;
stg;Stern Gesund leben;;;2018;2018;NA;;;;
tvd;TV Digital;;;2015;2022;NA;;;;
vbw;Volksblatt;;;2013;2022;NA;;;;
vzs;Schweinfurter Volkszeitung;;;2013;2022;NA;Schweinfurt;BY;;
w;Die Welt;;;1999;2022;NA;;;1;
was;Welt am Sonntag;;;1997;2022;NA;;;1;
weo;Welt Online;;;2009;2022;NA;;;1;
beo;Berner Oberländer;2002;2015;2018;2022;NA;;;;
bmo;Bergische Morgenpost;;;2013;2022;NA;Düsseldorf;NW;;
bna;Bramscher Nachrichten;;;2012;2019;NA;Bramsche;NI;;
bue;Bürstädter Zeitung;;;2006;2022;NA;Bürstadt;HE;;
bzg;Bergedorfer Zeitung;;;2011;2022;NA;Bergedorf;HH;;
dgl;Die Glocke;;;2019;2022;NA;Oelde;NW;;
eze;Ems-Zeitung;;;2012;2019;NA;Papenburg;NI;;
frr;Frankfurter Rundschau;;;2000;2016;NA;Frankfurt am Main;HE;;
hna;Hessische Niedersächsische Allgemeine;;;2019;2022;NA;Kassel;HE;;
hat;Haller Tagblatt;;;2013;2022;NA;Halle (Saale);ST;;
jue;Jüdische Allgemeine;;;2010;2022;NA;;;1;
kir;Kirner Zeitung;;;2013;2022;NA;Kirn;RP;;
kn;Kieler Nachrichten;;;2019;2022;NA;Kiel;SH;;
kru;Kölnische Rundschau;;;2002;2022;NA;Köln;NW;;
kxp;Kölner Express;;;2000;2022;NA;Köln;NW;;
lhz;Landhuter Zeitung;;;2014;2022;NA;Landshut;BY;;
lit;Lingener Tagespost;;;2012;2019;NA;Lingen;NI;;
ln;Lübecker Nachrichten;;;2019;2022;NA;Lübeck;SH;;
lvz;Leipziger-Volkszeitung;;;2000;2022;NA;Leipzig;SN;;
mag;Märkische Allgemeine;;;2007;2022;NA;Potsdam;BB;;
maz;Allgemeine Zeitung;;;2000;2022;NA;Mainz;RP;;
mep;Meppener Tagespost;;;2012;2019;NA;Meppen;NI;;
mme;Münchner Merkur;;;2016;2022;NA;München;BY;;
mpo;Main-Post;;;1997;2022;NA;Würzburg;BY;;
mtk;Main-Taunus-Kurier;;;2002;2019;NA;Darmstadt;HE;;
muv;Metzinger Uracher Volksblatt;;;2014;2022;NA;Metzingen;BW;;
mze;Mitteldeutsche Zeitung;;;2000;2022;NA;Halle (Saale);ST;;
nbk;Nordbayerischer Kurier;;;2015;2022;NA;Bayreuth;BY;;
ngz;Neuss-Grevenbroicher Zeitung;;;2013;2022;NA;Neuss;NW;;
nkz;Neue Kronen-Zeitung;;;2002;2022;NA;;;;
nlz;Neue Luzerner Zeitung;;;2000;2022;NA;;;;
nnn;Norddeutsche Neueste Nachrichten;;;2013;2022;NA;Rostock;MV;;
nnp;Nassauische Neue Presse;;;2014;2022;NA;Nassau (Lahn);RP;;
now;Nordwest-Zeitung;;;2016;2022;NA;Oldenburg;NI;;
npr;Neue Presse;;;2015;2022;NA;Hannover;NI;;
nvb;Neues Volksblatt;;;2000;2022;NA;;;;
nvt;Neue Vorarlberger Tageszeitung;;;2000;2022;NA;;;;
nwe;Neue Westfälische;;;2003;2022;NA;Bielefeld;NW;;
nws;Die Nordwestschweiz;2000;2004;2009;2022;NA;;;;
nwz;Neue Württembergische Zeitung;;;2007;2022;NA;Göppingen;BW;;
oaz;Oschatzer Allgemeine Zeitung;;;2013;2022;NA;Oschatz;SN;;
ohz;Oberhessische Zeitung;;;2007;2022;NA;Alsfeld;HE;;
ovz;Osterländer Volkszeitung;;;2013;2022;NA;Altenburg;TH;;
pnn;Potsdamer Neuste Nachrichten;;;2005;2022;NA;Potsdam;BB;;
pnp;Passauer Neue Presse;;;2001;2022;NA;Passau;BY;;
rln;Reutlinger Nachrichten;;;2014;2022;NA;Reutlingen;BW;;
rn;Ruhr Nachrichten;;;2019;2022;NA;Dortmund;NW;;
rpo;Rheinische Post;;;2001;2022;NA;Düsseldorf;NW;;
rsw;Rundschau für den Schwäbischen Wald;;;2014;2022;NA;Gaildorf;BW;;
sbn;Salzburger Nachrichten;;;2001;2022;NA;;;;
smp;Solinger Morgenpost;;;2013;2022;NA;Solingen;NW;;
rue;Rüsselsheimer Echo;;;2015;2022;NA;Rüsselsheim am Main;NW;;
bkr;Bersenbrücker Kreisblatt;;;2012;2019;NA;Bersenbrück;NI;;
sta;Der Standard;;;2000;2022;NA;;;;
tsp;Der Tagesspiegel;;;2000;2022;NA;Berlin;BE;1;
fpc;Freie Presse;;;2011;2022;NA;Chemnitz;SN;;
giz;Giessener Anzeiger;;;2004;2022;NA;Gießen;HE;;
haa;Hamburger Abendblatt;;;1999;2022;NA;Hamburg;HH;;
hdz;Handelszeitung;;;1992;2022;NA;;;;
mib;Mittelbayerische Zeitung;;;2014;2022;NA;Regensburg;BY;;
oon;Oberösterreichische Nachrichten;;;2001;2022;NA;;;;
otz;Ostthüringer Zeitung;2000;2012;2017;2022;NA;Gera;TH;;
rga;Reutlinger General-Anzeiger;;;2007;2022;NA;Reutlingen;BW;;
rvz;Rieder Volkszeitung;;;2013;2022;NA;;;;
saz;Saale-Zeitung;;;2011;2022;NA;Bad Kissingen;BY;;
sbz;Saarbrücker Zeitung;;;2000;2022;NA;Saarbrücken;SL;;
sze;Sächsische Zeitung;;;2000;2022;NA;Dresden;SN;;
scz;Schwäbische Zeitung;;;2011;2022;NA;Ravensburg;BW;;
sct;Schweinfurter Tagblatt;;;2013;2022;NA;Schweinfurt;BY;;
svz;Schweriner Volkszeitung;;;2004;2022;NA;Schwerin;BB;;
soa;Sonntag Aktuell;;;2004;2016;NA;Stuttgart;BW;;
stn;Stuttgarter Nachrichten;;;2004;2016;NA;Stuttgart;BW;;
stz;Stuttgarter Zeitung;;;2000;2016;NA;Stuttgart;BW;;
sku;Südkurier;;;2000;2022;NA;Konstanz;BW;;
swp;Südwest Presse;;;2007;2022;NA;Ulm;BW;;
tbz;Tauber-Zeitung;;;2014;2015;NA;Tauberbischofsheim;BW;;
tnz;Taunus Zeitung;;;2014;2022;NA;Bad Homburg v. d. Höhe;HE;;
tha;Thüringer Allgemeine;2000;2012;2017;2022;NA;Erfurt;TH;;
tlz;Thüringische Landeszeitung;2000;2012;2017;2022;NA;Weimar;TH;;
ttz;Tiroler Tageszeitung;;;2001;2022;NA;;;;
toz;Torgauer Zeitung;;;2013;2015;NA;Torgau;SN;;
tvf;Trierischer Volksfreund;;;2000;2022;NA;Trier;RP;;
uan;Usinger Anzeiger;;;2004;2022;NA;Usingen;HE;;
van;Vorarlberger Nachrichten;;;2002;2022;NA;;;;
wez;Westdeutsche Zeitung;;;2009;2022;NA;Wuppertal;NW;;
wfb;Westfalen-Blatt;2010;2015;2018;2022;NA;Bielefeld;NW;;
wiz;Wiener Zeitung;;;2000;2022;NA;;;;
wku;Wiesbadener Kurier;;;2000;2022;NA;Wiesbaden;HE;;
wtb;Wiesbadener Tagblatt;;;2002;2019;NA;Wiesbaden;HE;;
wbl;WirtschaftsBlatt;;;2000;2016;NA;;;;
wor;Wormser Zeitung;;;2002;2022;NA;Worms;RP;;
