newspaper,length
sueddeutsche.de,5097
sueddeutsche.de,4128
sueddeutsche.de,1734
sueddeutsche.de,5378
sueddeutsche.de,3988
sueddeutsche.de,3155
sueddeutsche.de,4837
sueddeutsche.de,1725
sueddeutsche.de,8356
sueddeutsche.de,3785
sueddeutsche.de,3819
sueddeutsche.de,2974
sueddeutsche.de,1642
sueddeutsche.de,2758
sueddeutsche.de,4093
sueddeutsche.de,3553
sueddeutsche.de,4042
sueddeutsche.de,3665
sueddeutsche.de,4841
sueddeutsche.de,4151
sueddeutsche.de,1378
sueddeutsche.de,3559
sueddeutsche.de,2384
sueddeutsche.de,4602
sueddeutsche.de,195
sueddeutsche.de,3730
sueddeutsche.de,6231
sueddeutsche.de,3636
sueddeutsche.de,4517
sueddeutsche.de,3925
sueddeutsche.de,4109
sueddeutsche.de,371
sueddeutsche.de,1324
sueddeutsche.de,1944
sueddeutsche.de,2834
sueddeutsche.de,6114
sueddeutsche.de,4071
sueddeutsche.de,204
sueddeutsche.de,2361
sueddeutsche.de,4220
sueddeutsche.de,3113
sueddeutsche.de,6106
sueddeutsche.de,770
sueddeutsche.de,3501
sueddeutsche.de,4515
sueddeutsche.de,4843
sueddeutsche.de,9138
sueddeutsche.de,3313
sueddeutsche.de,9783
sueddeutsche.de,3062
sueddeutsche.de,3605
sueddeutsche.de,2999
sueddeutsche.de,6606
sueddeutsche.de,1720
sueddeutsche.de,8251
sueddeutsche.de,4240
sueddeutsche.de,4744
sueddeutsche.de,3981
sueddeutsche.de,2104
sueddeutsche.de,4466
sueddeutsche.de,1051
sueddeutsche.de,1684
sueddeutsche.de,7868
sueddeutsche.de,3554
sueddeutsche.de,3434
sueddeutsche.de,1929
sueddeutsche.de,7594
sueddeutsche.de,1670
sueddeutsche.de,1915
sueddeutsche.de,9320
sueddeutsche.de,2109
sueddeutsche.de,3245
sueddeutsche.de,3366
sueddeutsche.de,2563
sueddeutsche.de,6718
sueddeutsche.de,4882
sueddeutsche.de,5016
sueddeutsche.de,4256
sueddeutsche.de,1540
sueddeutsche.de,5034
sueddeutsche.de,1228
sueddeutsche.de,2928
sueddeutsche.de,3184
sueddeutsche.de,6267
sueddeutsche.de,5111
sueddeutsche.de,3051
sueddeutsche.de,2518
sueddeutsche.de,1369
sueddeutsche.de,5196
sueddeutsche.de,2474
sueddeutsche.de,3238
sueddeutsche.de,277
sueddeutsche.de,2936
sueddeutsche.de,3853
sueddeutsche.de,4134
sueddeutsche.de,215
sueddeutsche.de,7876
sueddeutsche.de,3482
