Corpus;Sigle;Titel;von_;bis_;von;bis;Lizenz;Stadt;Region;National;Leitmedium
W4;stz;Stuttgarter Zeitung;;;2000;2016;NA;Stuttgart;BW;;
W4;sku;Südkurier;;;2000;2022;NA;Konstanz;BW;;
W4;swp;Südwest Presse;;;2007;2022;NA;Ulm;BW;;
W4;tbz;Tauber-Zeitung;;;2014;2015;NA;Tauberbischofsheim;BW;;
W4;tnz;Taunus Zeitung;;;2014;2022;NA;Bad Homburg v. d. Höhe;HE;;
W4;tha;Thüringer Allgemeine;2000;2012;2017;2022;NA;Erfurt;TH;;
W4;tlz;Thüringische Landeszeitung;2000;2012;2017;2022;NA;Weimar;TH;;
W4;ttz;Tiroler Tageszeitung;;;2001;2022;NA;Innsbruck;AT;;
W4;toz;Torgauer Zeitung;;;2013;2015;NA;Torgau;SN;;
W4;tvf;Trierischer Volksfreund;;;2000;2022;NA;Trier;RP;;
W4;uan;Usinger Anzeiger;;;2004;2022;NA;Usingen;HE;;
W4;van;Vorarlberger Nachrichten;;;2002;2022;NA;Bregenz;AT;;
W4;wez;Westdeutsche Zeitung;;;2009;2022;NA;Wuppertal;NW;;
W4;wfb;Westfalen-Blatt;2010;2015;2018;2022;NA;Bielefeld;NW;;
W4;wiz;Wiener Zeitung;;;2000;2022;NA;;;AT;
W4;wku;Wiesbadener Kurier;;;2000;2022;NA;Wiesbaden;HE;;
W4;wtb;Wiesbadener Tagblatt;;;2002;2019;NA;Wiesbaden;HE;;
W4;wbl;WirtschaftsBlatt;;;2000;2016;NA;;;AT;
W4;wor;Wormser Zeitung;;;2002;2022;NA;Worms;RP;;
