Datum,Ende,Ort,Thema
2022-03-11,2022-03-11,Gerhard-Rohlfs-Straße,1.001. Friedenskundgebung
2022-03-12,2022-03-12,Marktplatz,Fukushima-Gedenktag
2022-03-12,2022-03-12,Vor den Domtreppen,Frieden im Nahen Osten
2022-03-12,2022-03-12,Vor Kapitel 8,Treffpunkt zum friedlichen Dialog
2022-03-12,2022-03-12,Vor den Domtreppen,"Glaube an den Herrn Jesus Christus, so wirst du gerettet werden, du und dein Haus!"
2022-03-13,2022-03-13,Aufzug durch das Ostertor,Mehr Traute - ist der Name Programm?
2022-03-14,2022-03-14,Aufzug von Klinik zu Klinik in Schwachhausen ,Für eine freie Impfentscheidung in der Pflege
2022-03-14,2022-03-14,Aufzug durch Bremen-Nord,Spaziergang zur Wahrung der Grund- und Menschenrechte
2022-03-15,2022-03-15,Aufzug Marktplatz - Am Wall - Viertel - Ziegenmarkt,Stattspaziergang zum internationalen Tag gegen Polizeigewalt
2022-03-16,2022-03-16,Marktplatz,Gedenken an den Genozid in Halabja
2022-03-17,2022-03-17,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-03-17,2022-03-17,Gegenüber dem Amtsgericht,Versammlungsfreiheit verteidigen
2022-03-17,2022-03-17,Weserpromenade - Osterdeich - Hastedter Osterdeich,Ein Licht für die Zuversicht - Lichterkette an der Weser
2022-03-18,2022-03-18,Vor Kapitel 8,Rüstungshochburg Bremen
2022-03-18,2022-03-18,Marktplatz,Protest gegen die türkische Besatzung von Efrin
2022-03-18,2022-03-18,Rathausarkaden,Lebensmittelverschwendung / Klimakrise
2022-03-18,2022-03-18,Gerhard-Rohlfs-Straße,1.002. Friedenskundgebung
2022-03-18,2022-03-18,Aufzug Neustadt - Viertel,Unsere Solidarität gegen ihre Repression
2022-03-19,2022-03-19,Vor den Domtreppen,Frieden im Nahen Osten
2022-03-19,2022-03-19,Vor Kapitel 8,Treffpunkt zum friedlichen Dialog
2022-03-19,2022-03-19,Marktplatz,Tierrechte
2022-03-19,2022-03-19,Bahnhofsvorplatz,Solidarität mit syrischem und ukrainischem Volk
2022-03-19,2022-03-19,Domshof,Versammlung zum schiitischen Frohlocken
2022-03-20,2022-03-20,Marktplatz,Internationaler Aktionstag für die Anerkennung von Ökozid als Verbrechen
2022-03-20,2022-03-20,Domshof,Frieden in der Ukraine
2022-03-20,2022-03-20,Weserstrand beim Café Sand,Versammlung anlässlich des Newroz-Festes
2022-03-20,2022-03-20,Weserwehr,Menschenkette für Frieden in der Ukraine und überall
2022-03-20,2022-03-20,Bahrsplate (Blumenthal),Versammlung anlässlich des Newroz-Festes
2022-03-23,2022-03-23,Aufzug,Aufzug für Frieden
2022-03-23,2022-03-23,Marktplatz,Wohnzimmergespräch: Die Situation von Frauen in Bremen
2022-03-24,2022-03-24,Vor der Sozialbehörde,Stoppt die Umverteilung von Geflüchteten - No Transfers
2022-03-24,2022-03-24,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-03-25,2022-03-25,Aufzug: Bürgerweide - Innenstadt - Bürgerweide,#PeopleNoProfit #PeaceAndJustice
2022-03-25,2022-03-25,Fahrradaufzug,Tierschutz gegen Massentierhaltung
2022-03-25,2022-03-25,Gerhard-Rohlfs-Straße,1.003. Friedenskundgebung
2022-03-26,2022-03-26,Ulrichsplatz,Aggression Russland gegen die Ukraine
2022-03-26,2022-03-26,Aufzug Am Brill - Marktplatz - Langemarckstraße,Arbeitermarsch - Kein Frieden mit dem Krieg der Räuber! Der Hauptfeind steht im eigenen Land!
2022-03-26,2022-03-26,Marktplatz,"Wo sind in diesen Zeiten wie diesen die ""Guten Nachrichten"" zum Leben"
2022-03-26,2022-03-26,Vor den Domtreppen,Frieden im Nahen Osten
2022-03-26,2022-03-26,Vor Kapitel 8,Treffpunkt zum friedlichen Dialog
2022-03-26,2022-03-26,Vor den Domtreppen,"Der Geist des HERRN ist bei mir, darum, dass er mich gesalbt hat"
2022-03-26,2022-03-26,Aufzug durch Gröpelingen,Arbeitermarsch - Kein Frieden mit dem Krieg der Räuber! Der Hauptfeind steht im eigenen Land!
2022-03-26,2022-03-26,Fahrradaufzug Marktplatz - Osterdeich - Hauptbahnhof - Marktplatz,Tierschutz gegen Massentierhaltung
2022-03-26,2022-03-26,Bei der JVA Oslebshausen,Knast gehört weg!
2022-03-27,2022-03-27,Aufzug entlang des Osterdeiches (Fahrbahnseitig),Aktionstages gegen Krieg und Klimakrise
2022-03-29,2022-03-29,Marktplatz,Eilversammlung anlässlich des Gerichtsbeschlusses zu Lützerath
2022-03-30,2022-03-30,Vor der Sozialbehörde,Zurück zum Existenzminimum. Gegen Leistungskürzungen nach dem AsylbLG
2022-04-01,2022-04-01,Rathausarkaden,Lebensmittelverschwendung / Klimakrise
2022-04-01,2022-04-01,Gerhard-Rohlfs-Straße,1.004. Friedenskundgebung
2022-04-02,2022-04-02,Vor Kapitel 8,Treffpunkt zum friedlichen Dialog
2022-04-02,2022-04-02,Vor Kapitel 8,alt sein heißt nicht stumm sein
2022-04-02,2022-04-02,Marktplatz,Tierrechte
2022-04-04,2022-04-04,Marktplatz,Probleme und Widersprüche in der Politik der Bundes- und Länderregierungen
2022-04-05,2022-04-05,Vegesacker Bahnhofsplatz,Gedenken an Halit Yozgat und Mehmet Kubasik
2022-04-07,2022-04-07,Bahnhofsvorplatz,Gedenkversammlung für verstorbene Person aus der Bahnhofsszene
2022-04-07,2022-04-07,Vor der Sozialbehörde,Stoppt die Umverteilung von Geflüchteten - No Transfers
2022-04-07,2022-04-07,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-04-08,2022-04-08,Gerhard-Rohlfs-Straße,1.005. Friedenskundgebung
2022-04-09,2022-04-09,Ulrichsplatz,Aggression Russland gegen die Ukraine
2022-04-09,2022-04-09,Vor den Domtreppen,Frieden im Nahen Osten
2022-04-09,2022-04-09,Vor Kapitel 8,Treffpunkt zum friedlichen Dialog
2022-04-09,2022-04-09,Aufzug: Bahnhofsvorplatz - Marktplatz,"Nein zur türkischen Expansion in Kurdistan, nein zur Kollaboration mit dem Besetzer"
2022-04-09,2022-04-09,Vahrer Straße,Forderung nach mehr Real-Supermärkten
2022-04-09,2022-04-09,Marktplatz,"Don't forget Afghanistan, Solidarität mit den Menschen in der Ukraine"
2022-04-14,2022-04-14,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-04-15,2022-04-15,Gerhard-Rohlfs-Straße,1.006. Friedenskundgebung
2022-04-16,2022-04-16,Friedenstunnel - Marktplatz,Ostermarsch 2022
2022-04-16,2022-04-16,Vor den Domtreppen,Frieden im Nahen Osten
2022-04-16,2022-04-16,Vor den Domtreppen,"Die Strafe liegt auf ihm, auf dass wir Frieden hätten, und durch seine Wunden sind wir geheilt"
2022-04-16,2022-04-16,Hillmannplatz,"Nächstenliebe, Bedürftige am Rand der Gesellschaft"
2022-04-16,2022-04-16,Aufzug Dom-Wallanlagen,Osterweg
2022-04-17,2022-04-17,Domshof,Osternacht
2022-04-17,2022-04-17,An der Wehrstraße,Oster-Gottesdienst
2022-04-17,2022-04-17,Domshof,Frieden für die Ukraine! Solidarität mit der Ukraine!
2022-04-21,2022-04-21,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-04-21,2022-04-21,Marktplatz,Aktion gegen Tierversuche
2022-04-21,2022-04-21,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-04-22,2022-04-22,Gerhard-Rohlfs-Straße,1.007. Friedenskundgebung
2022-04-22,2022-04-22,Marktplatz,Schluss mit Übergriffen auf die Insassen in Gefängnissen in der Türkei
2022-04-23,2022-04-23,Ulrichsplatz,Äthiopien
2022-04-23,2022-04-23,Vor den Domtreppen,Frieden im Nahen Osten
2022-04-23,2022-04-23,Vor Kapitel 8,Treffpunkt zum friedlichen Dialog
2022-04-23,2022-04-23,Marktplatz,Tierrechte
2022-04-23,2022-04-23,Marktplatz,"Kohleabbau, Klimaschutz"
2022-04-26,2022-04-26,Marktplatz,Schluss mit Bombardierung von Schingall durch die türkische Armee
2022-04-28,2022-04-28,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-04-29,2022-04-29,Gerhard-Rohlfs-Straße,1.008. Friedenskundgebung
2022-04-30,2022-04-30,Vor Kapitel 8,Treffpunkt zum friedlichen Dialog
2022-04-30,2022-04-30,Vor den Domtreppen,Frieden im Nahen Osten
2022-04-30,2022-04-30,Vor Kapitel 8,Treffpunkt zum friedlichen Dialog
2022-04-30,2022-04-30,Aufzug HBF - Domsheide - Ziegenmarkt - Osterdeich,"Demonstration gegen Gewalt an Frauen, Lesben, Inter-, Nonbindary, Trans-Personen"
2022-05-01,2022-05-01,Aufzug Weserstadion - Ostertorviertel - Domshof,1. Mai in Bremen
2022-05-01,2022-05-01,Aufzug HBF - Domsheide - Lucie-Flechtmann-Platz,Internationalistischen und revolutionären 1. Mai – Demo
2022-05-01,2022-05-01,Aufzug,Mehr Traute - ist der Name Programm?
2022-05-01,2022-05-01,Lucie-Flechtmann-Platz,Internationalistischen und revolutionären 1. Mai – Demo
2022-05-03,2022-05-03,Hollerallee 77 (Restaurant Chapeau la Vache),Tierqualen / Stopfleber
2022-05-04,2022-05-04,Wachtstraße,Verkehrsminister:innenkonferenz
2022-05-05,2022-05-05,Marktplatz,Protesttag zur Gleichstellung von Menschen mit Behinderungen
2022-05-05,2022-05-05,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-05-06,2022-05-06,Gerhard-Rohlfs-Straße,1.009. Friedenskundgebung
2022-05-07,2022-05-07,Vor Kapitel 8,Treffpunkt zum friedlichen Dialog
2022-05-07,2022-05-07,Marktplatz,Aufstehen für Demokratie
2022-05-07,2022-05-07,Sögestraße,Botschaft der Bibel in Bezug auf das Grundgesetz
2022-05-07,2022-05-07,Sögestraße,Tierrechte
2022-05-07,2022-05-07,Vor den Domtreppen,Wo komme ich her? Wer bin ich? Wo gehe ich hin?
2022-05-08,2022-05-08,Mahnmal An der Reitbrake,8. Mai - Tag der Befreiung
2022-05-08,2022-05-08,Bahrsplate (Blumenthal),Gedenken zum 77. Jahrestag der Befreiung von der Nazidiktatur
2022-05-08,2022-05-08,Marktplatz,Antikriegskundgebung. Bürger von Russland und Belarus gegen den Krieg von Putin
2022-05-08,2022-05-08,Autokorso,"Friedensdemo, Gegen Volksverletzung, Mobbing und Diskrimminierung russisch (sprachigen) Bevölkerung"
2022-05-08,2022-05-08,Domshof,Frieden für die Ukraine! Solidarität mit der Ukraine!
2022-05-08,2022-05-08,Marktplatz,Jahrestag des Siegs der Alliierten über Nazideutschland
2022-05-09,2022-05-09,Marktplatz,Probleme und Widersprüche in der Politik der Bundes- und Länderregierungen
2022-05-11,2022-05-11,Marktplatz,Tarifrunde Sozial- und Erziehungsdienst
2022-05-12,2022-05-12,Grünfläche hinter der Kunsthalle,Tarifrunde Sozial- und Erziehungsdienst
2022-05-12,2022-05-12,Marktplatz,Tag der Pflege
2022-05-12,2022-05-12,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-05-12,2022-05-12,Aufzug: Nelson-Mandela-Platz um den Bahnhof und zurück,Keine Show für Täter
2022-05-13,2022-05-13,Visselhöveder Straße 35,Zwangsräumungen bei GEWOBA stoppen
2022-05-13,2022-05-13,Domsheide beim Landgericht,You can't pray the Gay away - Eure Kinder werden so wie wir!
2022-05-13,2022-05-13,Gerhard-Rohlfs-Straße,1.010. Friedenskundgebung
2022-05-14,2022-05-14,Ulrichsplatz,Guantanamo
2022-05-14,2022-05-14,Vor den Domtreppen,Frieden im Nahen Osten
2022-05-14,2022-05-14,Vor Kapitel 8,Treffpunkt zum friedlichen Dialog
2022-05-14,2022-05-14,Marktplatz,Solidarität mit den Protesten in den USA zur Verteidigung der Abtreibungsrechte
2022-05-15,2022-05-15,Aufzug durch Gröpelingen,Stoppt die Nakba!
2022-05-15,2022-05-15,Tilsiter Straße 17,Gegen Krieg und für Partnerschaft
2022-05-16,2022-05-16,Fläche vor der Violenstraße 2,You can't pray the gay away - eure Kinder werden so wie wir!
2022-05-17,2022-05-17,Vor der Sozialbehörde,Übergabe von Unterschriften gegen die Herabgruppierung von Schulas-sistenzen aus Bremerhaven
2022-05-19,2022-05-19,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-05-20,2022-05-20,Fläche vor der Violenstraße 2,You can't pray the gay away - eure Kinder werden so wie wir!
2022-05-20,2022-05-20,Domsheide vor Hausnummer 8,Rüstungshochburg Bremen
2022-05-20,2022-05-20,Gerhard-Rohlfs-Straße,1.011. Friedenskundgebung
2022-05-21,2022-05-21,Marktplatz,"Wo sind in diesen Zeiten wie diesen die ""Guten Nachrichten"" zum Leben"
2022-05-21,2022-05-21,Bahnhofsvorplatz,Predigt Jesus Christus / Leben nach den Lehren Jesu Christi
2022-05-21,2022-05-21,Vor den Domtreppen,Frieden im Nahen Osten
2022-05-21,2022-05-21,Vor Kapitel 8,Treffpunkt zum friedlichen Dialog
2022-05-22,2022-05-22,Marktplatz,Wasser - Quelle unseres Lebens
2022-05-24,2022-05-24,Platz vor der Glocke,Klimaschutz ist Gesundheitsschutz
2022-05-24,2022-05-24,Vor dem Jobcenter Utbremer Straße,Jobcenter - es reicht!
2022-05-24,2022-05-24,Vor dem Rathauseingang,Klimaschutzmaßnahmen umsetzen
2022-05-26,2022-05-26,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-05-27,2022-05-27,Gerhard-Rohlfs-Straße,1.012. Friedenskundgebung
2022-05-28,2022-05-28,Kreuzungsbereich Bahnhofstraße/Breitenweg,Negativer Einfluss von tierischen Lebensmitteln auf das Klima
2022-05-28,2022-05-28,Platz rechts neben der Glocke,Treffpunkt zum friedlichen Dialog
2022-05-28,2022-05-28,Vor den Domtreppen,Frieden im Nahen Osten
2022-05-28,2022-05-28,Vor den Domtreppen,Wo komme ich her? Wer bin ich? Wo gehe ich hin?
2022-05-29,2022-05-29,Bahnhofsvorplatz,"Gegen die in Afghanistan herrschende Taliban-Regierung und deren Handeln und Maßnahmen, insbesondere gegenüber Frauen und deren Unterdrückung"
2022-05-31,2022-05-31,Neustatswall 30,Gegen Diskriminierung und Rassismus an der Hochschule Bremen
2022-05-31,2022-05-31,Hollerallee 77 (Restaurant Chapeau la Vache),Tierqualen / Stopfleber
2022-06-02,2022-06-02,Vor den Domtreppen,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-06-03,2022-06-03,Gerhard-Rohlfs-Straße,1.013. Friedenskundgebung
2022-06-03,2022-06-03,Aufzug durch die Innenstadt,"100 Milliarden für Soziales, Klimagerechtigkeit, Gesundheit statt für Aufrüstung"
2022-06-04,2022-06-04,Vor den Domtreppen,Frieden im Nahen Osten
2022-06-04,2022-06-04,Vor Kapitel 8,Treffpunkt zum friedlichen Dialog
2022-06-04,2022-06-04,Bahnhofsvorplatz,Ohne Hoffnung? Wo gibt es Hoffnung auch in 2022?
2022-06-04,2022-06-04,Vor den Domtreppen,alt sein heißt nicht stumm sein
2022-06-09,2022-06-09,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-06-13,2022-06-13,Marktplatz,Probleme und Widersprüche in der Politik der Bundes- und Länderregierungen
2022-06-10,2022-06-10,Gerhard-Rohlfs-Straße,1.014. Friedenskundgebung
2022-06-11,2022-06-11,Vor den Domtreppen,Frieden im Nahen Osten
2022-06-11,2022-06-11,Platz rechts neben der Glocke,Treffpunkt zum friedlichen Dialog
2022-06-11,2022-06-11,Fähranleger Sielwall,"Gedenken an Ismail Yasar, Aburrahim Özüdrogu und Theodros Boulgarides"
2022-06-11,2022-06-11,Vor den Domtreppen,"Meinen Frieden gebe ich, meinen Frieden lasse ich euch."
2022-06-12,2022-06-12,Domshof,Kundgebung gegen den Krieg in der Ukraine
2022-06-13,2022-06-13,Firmengelände ArcelorMittal Bremen,Warnstreik von ArcelorMittal Bremen
2022-06-15,2022-06-15,Vor dem Dienstsitz der Senatorin für Gesundheit,Keine Ausgliederungen bei der GeNo
2022-06-16,2022-06-16,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-06-17,2022-06-17,Domsheide vor Hausnummer 8,Rüstungshochburg Bremen
2022-06-17,2022-06-17,Bahnhofsplatz Vegesack,Hoffnung in Zeiten wie diesen ist möglich
2022-06-17,2022-06-17,Gerhard-Rohlfs-Straße,1.015. Friedenskundgebung
2022-06-18,2022-06-18,Vor den Domtreppen,Frieden im Nahen Osten
2022-06-18,2022-06-18,Platz rechts neben der Glocke,Treffpunkt zum friedlichen Dialog
2022-06-18,2022-06-18,Lindenhofstraße (Gröpelingen),Politische Gefangene
2022-06-18,2022-06-18,Aufzug durch Bremen-Nord,Spaziergang zur Wahrung der Grund- und Menschenrechte
2022-06-19,2022-06-19,Bahnhofsvorplatz,Gottes Botschaft der Evangelisation
2022-06-20,2022-06-20,Vor dem Dienstsitz der Senatorin für Bau,Für ein nachbarschafts- und klimafreundliches Kornquartier
2022-06-20,2022-06-20,Vor der Sozialbehörde,Gewoba Zwangsräumungsstopp
2022-06-20,2022-06-20,Marktplatz,Ukrainekrieg: Verhandlungslösung
2022-06-20,2022-06-20,Marktplatz,Mahnwache anlässlich des Weltgeflüchtetentages
2022-06-21,2022-06-21,Aufzug HBF-Präsident-Kennedy-Pl.-HBF,Lohntarifstreik der Hafenmitarbeitenden
2022-06-22,2022-06-22,Börsenhof A,Übergabe von Unterschriftenliste
2022-06-23,2022-06-23,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-06-23,2022-06-23,Kapitän-Lehmann-Ring,Zwangsräumungen bei GEWOBA stoppen
2022-06-24,2022-06-24,Gerhard-Rohlfs-Straße,1.016. Friedenskundgebung
2022-06-25,2022-06-25,Vor den Domtreppen,Frieden im Nahen Osten
2022-06-25,2022-06-25,Platz rechts neben der Glocke,Treffpunkt zum friedlichen Dialog
2022-06-25,2022-06-25,Marktplatz,Wo ist in diesen Zeiten die Gute Botschaft fürs Leben
2022-06-25,2022-06-25,Bahnhofsvorplatz,Politische Gefangene in Syrien
2022-06-27,2022-06-27,Marktplatz,"Krieg in der Ukraine: Anlass, Führung und Perspektiven des Krieges"
2022-06-27,2022-06-27,Weserwehr,Gedenken an Süley-man Tasköprü
2022-06-28,2022-06-28,Hollerallee 77 (Restaurant Chapeau la Vache),Tierqualen / Stopfleber
2022-06-30,2022-06-30,Vor den Domtreppen,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-07-01,2022-07-01,Gerhard-Rohlfs-Straße,1.017. Friedenskundgebung
2022-07-02,2022-07-02,Breitenweg / Bahnhofsstraße,Negativer Einfluss von tierischen Lebensmitteln auf das Klima
2022-07-02,2022-07-02,Vor den Domtreppen,Frieden im Nahen Osten
2022-07-02,2022-07-02,Platz rechts neben der Glocke,Treffpunkt zum friedlichen Dialog
2022-07-02,2022-07-02,Vor den Domtreppen,alt sein heißt nicht stumm sein
2022-07-04,2022-07-04,Vor den Domtreppen,"Krieg in der Ukraine: Anlass, Führung und Perspektiven des Krieges"
2022-07-05,2022-07-05,Bredenstraße,Tarifverhandlungen Deutsche Seehäfen
2022-07-07,2022-07-07,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-07-08,2022-07-08,Gerhard-Rohlfs-Straße,1.018. Friedenskundgebung
2022-07-08,2022-07-08,Marktplatz,Bürgermeister für den Frieden
2022-07-09,2022-07-09,Vor den Domtreppen,Frieden im Nahen Osten
2022-07-09,2022-07-09,Platz rechts neben der Glocke,Treffpunkt zum friedlichen Dialog
2022-07-09,2022-07-09,Haltestelle Lindenhof,Menschenrechte in Indien
2022-07-10,2022-07-10,Hillmannplatz,Gottes Botschaft der Evangelisation
2022-07-10,2022-07-10,Vor den Domtreppen,"Meinen Frieden gebe ich, meinen Frieden lasse ich euch."
2022-07-10,2022-07-10,Lankenauer Höft,Keine Show für Täter
2022-07-11,2022-07-11,Marktplatz,"Krieg in der Ukraine: Anlass, Führung und Perspektiven des Krieges"
2022-07-12,2022-07-12,Hollerallee 77 (Restaurant Chapeau la Vache),Tierqualen / Stopfleber
2022-07-14,2022-07-14,Nelson-Mandela-Park,Andacht für zwei verstorbene Personen aus der Bahnhofsszene
2022-07-14,2022-07-14,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-07-15,2022-07-15,Domsheide vor Hausnummer 8,Rüstungshochburg Bremen
2022-07-15,2022-07-15,Bibliotheksplatz Lindenhofstraße,Preissteigerungen
2022-07-15,2022-07-15,Gerhard-Rohlfs-Straße,1.019. Friedenskundgebung
2022-07-16,2022-07-16,Vor den Domtreppen,Frieden im Nahen Osten
2022-07-16,2022-07-16,Hanseatenhof,Treffpunkt zum friedlichen Dialog
2022-07-16,2022-07-16,Bahnhofsplatz Vegesack,Hoffnung in Zeiten wie diesen ist möglich
2022-07-16,2022-07-16,Sedanplatz,Preissteigerungen & Inflation
2022-07-16,2022-07-16,Marktplatz,"Versammlung anlässlich des schiitischen Fests ""Ghadir al Khum"""
2022-07-18,2022-07-18,Marktplatz,"Krieg in der Ukraine: Anlass, Führung und Perspektiven des Krieges"
2022-07-19,2022-07-19,Grünfläche beim Werdersee-Kiosk,Menschenrechte in Kolumbien
2022-07-19,2022-07-19,Gehwegfläche bei der Rekumer Straße 181,Verlegung Stolperstein für Luise Otten
2022-07-20,2022-07-21,Fahrradaufzug durch Bremen,Anti-Atom Radtour 2022: Dem Ausstieg entgegen - die Zukunft ist erneuerbar!
2022-07-20,2022-07-20,Marktplatz,Verfolgung von Falun Dafa
2022-07-21,2022-07-21,Aufzug: Hbf - Am Dobben - Ziegenmarkt,Gedenktag für verstorbene Drogengebraucher:innen
2022-07-21,2022-07-21,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-07-22,2022-07-22,Fahrradaufzug durch Bremen,Tierschutz / gegen Massentierhaltung
2022-07-22,2022-07-22,Gerhard-Rohlfs-Straße,1.020. Friedenskundgebung
2022-07-22,2022-07-22,Goetheplatz,Gedenken an die Ermordeten des rechten Anschlags auf das Olympia Einkaufszentrums
2022-07-23,2022-07-23,Ulrichsplatz,Aktuelle Fälle von Amnesty International
2022-07-23,2022-07-23,Vor den Domtreppen,Frieden im Nahen Osten
2022-07-23,2022-07-23,Hanseatenhof,Treffpunkt zum friedlichen Dialog
2022-07-23,2022-07-23,Sögestraße,Botschaft der Bibel in Bezug auf das Grundgesetz
2022-07-23,2022-07-23,Aufzug Bahnhofsvorplatz - Neustadt - Viertel - Marktplatz,Demo Rave und Kidical Mass für eine sofortige faire und nachhaltige Verkehrswende und eine lebenswerte Stadt mit Raum für Subkultur
2022-07-23,2022-07-23,Bahnhofsvorplatz,Schluss mit der Bombardierung von Rojava
2022-07-24,2022-07-24,Marktplatz,Gottes Botschaft der Evangelisation
2022-07-25,2022-07-25,Marktplatz,"Krieg in der Ukraine: Anlass, Führung und Perspektiven des Krieges"
2022-07-26,2022-07-26,Vor dem Amtsgericht Bremen,Gemeinsam Vonovia stoppen
2022-07-26,2022-07-26,Manfred-Fuchs-Platz,Streik ist kein Verbrechen - Solidarität mit den Basisgewerkschaften Si Cobas und USB
2022-07-28,2022-07-28,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-07-29,2022-07-29,Gerhard-Rohlfs-Straße,1.021. Friedenskundgebung
2022-07-30,2022-07-30,Marktplatz,Tierrechte
2022-07-30,2022-07-30,Vor den Domtreppen,Frieden im Nahen Osten
2022-07-30,2022-07-30,Hanseatenhof,Treffpunkt zum friedlichen Dialog
2022-08-01,2022-08-01,Marktplatz,Probleme und Widersprüche in der Politik der Bundes- und Länderregierungen
2022-08-03,2022-08-03,Marktplatz,Schluss mit der Bombardierung von Schingall der türkischen Armee
2022-08-04,2022-08-04,Aufzug Friedenstunnel - Marktplatz,Inklusion Rockt und Rollt
2022-08-04,2022-08-04,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-08-05,2022-08-05,Gerhard-Rohlfs-Straße,1.022. Friedenskundgebung
2022-08-06,2022-08-06,Kreuzungsbereich Bahnhofstraße/Breitenweg,Negativer Einfluss von tierischen Lebensmitteln auf das Klima
2022-08-06,2022-08-06,Marktplatz,Aktiver Widerstand gegen die Gefahr eines III. Weltkriegs
2022-08-06,2022-08-06,Vor den Domtreppen,Frieden im Nahen Osten
2022-08-06,2022-08-06,Platz rechts neben der Glocke,Treffpunkt zum friedlichen Dialog
2022-08-06,2022-08-06,Marktplatz,77. Jahrestag der Atombombenabwürfe auf Hiroshima und Nagasaki
2022-08-06,2022-08-06,Grasmarkt,NIE WIEDER KRIEG
2022-08-06,2022-08-06,Hanseatenhof,Aufklärung über den Politischen Islam
2022-08-07,2022-08-07,Marktplatz,Gottes Botschaft der Evangelisation
2022-08-08,2022-08-08,Marktplatz,Versammlung zu Schiitischem Glaubensfest
2022-08-11,2022-08-11,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-08-12,2022-08-12,Gerhard-Rohlfs-Straße,1.023. Friedenskundgebung
2022-08-12,2022-08-12,Bibliotheksplatz Lindenhofstraße,Konflikt Gaza-Israel
2022-08-13,2022-08-13,Aufzug HBF - Marktplatz,Don't forget about Afghanistan
2022-08-13,2022-08-13,Platz der Deutschen Einheit,"Jesus ist der Weg, die Wahrheit und das Leben"
2022-08-13,2022-08-13,Martinianleger / Schlachte,"Jesus ist der Weg, die Wahrheit und das Leben"
2022-08-13,2022-08-13,Vor den Domtreppen,Frieden im Nahen Osten
2022-08-13,2022-08-13,Hanseatenhof,Treffpunkt zum friedlichen Dialog
2022-08-13,2022-08-13,Bahnhofsvorplatz,Schluss mit der Bombardierung von Rojava
2022-08-15,2022-08-15,Marktplatz,Active Love
2022-08-15,2022-08-15,Hollerallee 77 (Restaurant Chapeau la Vache),Tierqualen / Stopfleber
2022-08-17,2022-08-17,Aufzug: Hbf - Glocke - Hbf,Für Menschen- und Grundrechte
2022-08-18,2022-08-18,Vor den Domtreppen,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-08-19,2022-08-19,Gerhard-Rohlfs-Straße,1.024. Friedenskundgebung
2022-08-19,2022-08-19,Bahnhofsplatz Vegesack,Hoffnung in Zeiten wie diesen ist möglich
2022-08-20,2022-08-20,Vor den Domtreppen,Frieden im Nahen Osten
2022-08-20,2022-08-20,Hanseatenhof,Treffpunkt zum friedlichen Dialog
2022-08-20,2022-08-20,Hanseatenhof,Awareness-Kampagne Belutschistan
2022-08-20,2022-08-20,Gröpelinger Heerstraße / Beim Ohlenhof,Preiserhöhungen
2022-08-21,2022-08-21,Bahnhofsvorplatz,Gottes Botschaft der Evangelisation
2022-08-22,2022-08-22,Erste Schlachtpforte,Tarifauseinandersetzungen zwischen ver.di und dem ZDS
2022-08-23,2022-08-23,Marktplatz,Ungleiche Behandlung von Haus- und Nutztieren
2022-08-24,2022-08-24,Bahnhofsvorplatz,Verbrechen des iranischen Regimes
2022-08-24,2022-08-24,Aufzug: Bahnhofsvorplatz - Domsheide - Ziegenmarkt,Situation der Geflüchteten aus der Ukraine
2022-08-24,2022-08-24,Aufzug: ZBV-Fläche - Breitenweg - Theodor-Heuss-Allee - ZBV-Fläche,Für Menschen- und Grundrechte
2022-08-25,2022-08-25,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2022-08-26,2022-08-26,Gerhard-Rohlfs-Straße,1.025. Friedenskundgebung
2022-08-27,2022-08-27,Ulrichsplatz,Aktuelle Fälle von Amnesty International
