Datum,Ende,Ort,Thema
2019-05-14,2019-05-14,Bahnhofsvorplatz,Isolation durchbrechen und Faschismus zerschlagen
2019-05-15,2019-05-15,Gerhard-Rohlfs-Straße/ Höhe Sparkasse,Parteistände verbieten. Für Fußgängerzonen ohne Politik.
2019-05-15,2019-05-15,Platz vor dem Goethetheater,Klimaschutz Teil1
2019-05-15,2019-05-15,Platz vor dem Goethetheater,Klimaschutz Teil2
2019-05-16,2019-05-16,Marktplatz,Donnerstagsmahnwache
2019-05-17,2019-05-17,Weserstrandstraße / Mühlenstraße,"Wahlkundgebung der Partei "" Die Linke"""
2019-05-17,2019-05-17,Gerhard-Rohlfs-Str./Breite Str.,Nordbremer Bürger gegen den Krieg
2019-05-17,2019-05-17,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-05-17,2019-05-17,Bahnhofsvorplatz,Demonstration gegen den Klimawandel
2019-05-17,2019-05-17,Goetheplatz,Gedenken an Robbiee Warsame und Tonou Mbobda
2019-05-17,2019-05-17,Goetheplatz,Int. Tag der Homophobie
2019-05-17,2019-05-17,"Domsheide 8, 28195 Bremen",Rüstungsmahnwache
2019-05-17,2019-05-17,Herrmann-Koenen -Straße ,Wahlkundgebeung der MLPD
2019-05-17,2019-05-17,Werner-lampe str./ Kirchhuchtinger Landstraße,Geplante Straßenbahnverlängerung der Linie 1& 8 durch Hochging Weyhe/Leeste
2019-05-17,2019-05-17,Hanseatenhot,Wahlkundgebung der Marxistisch-Leninistischen Partei Deutschlands
2019-05-18,2019-05-18,Goetheplatz,Demokratie retten
2019-05-18,2019-05-18,Oberer Domshof,Palästinamahnwache
2019-05-18,2019-05-18,Hanseatenhof,Hanseatenhof
2019-05-19,2019-05-19,Domshof,Pro Europa Versammlung
2019-05-20,2019-05-20,Gewerkschaftshaus  richtung Hillmannplatz,Tarifverhandlungen in der Pflege
2019-05-21,2019-05-21,Bahnhofsvorplatz,Isolation durchbrechen und Faschismus zerschlagen
2019-05-23,2019-05-23,Kapitel 8,Donnerstagsmahnwache
2019-05-24,2019-05-24,Bahnhofsplatz Richtung Marktplatz,"Demonstration gegen den Kohleverstromung, Inaktivität angesichts des Klimawandels, für eine Zukunft, in der auch die folgenden Generationen leben können"
2019-05-24,2019-05-24,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-05-24,2019-05-24,Gerhard-Rohlfs-Str./Breite Str.,Nordbremer Bürger gegen den Krieg
2019-05-24,2019-05-24,Bahnhofsvorplatz,"Demostration gegen Kohleverstromumg, Inaktivität angesichts des Klimawandels"
2019-05-25,2019-05-25,Hanseatenhof,Dialog mit einem Tier
2019-05-25,2019-05-25,Oberer Domshof,Palästinamahnwache
2019-05-25,2019-05-25,Bahnhofsvorplatz,Für eine solidarische Gesellschaft ohne Rassismus
2019-05-25,2019-05-25,Grasmarkt,"Iran, Freikeit für Nasri Soutoudeh"
2019-05-26,2019-05-26,Goetheplatz,Für Brasilien
2019-05-26,2019-05-26,Bremen Airport / Terminal 1,Tierversuche und versuchstiertransporte durch Air France-KLM
2019-05-27,2019-05-27,Marktplatz,Bremer Montagsdemonstration
2019-05-28,2019-05-28,Bahnhofsplatz 29,Together-we-are -Bremen
2019-05-28,2019-05-28,Bahnhofsvorplatz,Isolation durchbrechen und Faschismus zerschlagen
2019-05-29,2019-05-29,Marktplatz,Fahrraddemonstration zur Stärkungdes Radverkehrs und Klimaschutzes
2019-05-30,2019-05-30,Marktplatz,Donnerstagsmahnwache
2019-05-31,2019-05-31,Marktplatz,"Klimaschutz, Klimawandel, Aufruf an Politiker*innen und Gesellschaft"
2019-05-31,2019-05-31,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-05-31,2019-05-31,Gerhard-Rohlfs-Str/ Breite Straße ,Friedenskundgebung
2019-05-31,2019-05-31,Sögestr. Über Lloydpassage zum Hanseatenhof,Tarifrunde Einzelhandel
2019-06-01,2019-06-01,Bahnhofsplatz Richtung Marktplatz,Ungerechtigkeit und Tötung des Paschtunen Volks in Pakistan
2019-06-03,2019-06-03,Buntentorsteinweg,Worlds Cycle Day
2019-06-06,2019-06-06,Rotes-Kreuz-Krankenhaus,Ticketloser Nahverkehr
2019-06-06,2019-06-06,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2019-06-07,2019-06-07,Bahnhofsvorplatz,Demonstration gegen den Klimawandel
2019-06-07,2019-06-07,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-06-07,2019-06-07,Marktplatz,Aktionswoche Schuldnerberatung
2019-06-07,2019-06-07,Hanseatenhof  Richtung Bahnhof Gerwerkschaftshaus ,Streik im Einzelhandel
2019-06-07,2019-06-07,Gerhard-Rohlfs-Str/ Breite Straße ,Friedenskundgebung
