Datum,Uhrzeit,Ort,Thema,Teilnehmer,Straße,sheet_name
25.11.2019,18:00 - 20:00,Potsdam,"Für Frieden, Solidarität und Menschenrechte",20,Steubenplatz,2019
02.12.2019,18:00 - 20:00,Potsdam,"Für Frieden, Solidarität und Menschenrechte",20,Steubenplatz,2019
09.12.2019,18:00 - 20:00,Potsdam,"Für Frieden, Solidarität und Menschenrechte",20,Steubenplatz,2019
16.12.2019,18:00 - 20:00,Potsdam,"Für Frieden, Solidarität und Menschenrechte",20,Steubenplatz,2019
21.12.2019,16:00 - 20:00,Potsdam,"Für Frieden, Solidarität und Menschenrechte",20,Steubenplatz,2019
23.09.2019,17:00 - 19:00,Potsdam,Ice Landscapes (Week4Climate)“.,20,Steubenplatz - Hbf - Steubenplatz,2019
24.09.2019,17:00 - 19:00,Potsdam,Ice Landscapes (Week4Climate)“.,20,Steubenplatz - Hbf - Steubenplatz,2019
25.09.2019,17:00 - 19:00,Potsdam,Ice Landscapes (Week4Climate)“.,20,Steubenplatz - Hbf - Steubenplatz,2019
26.09.2019,17:00 - 19:00,Potsdam,Ice Landscapes (Week4Climate)“.,20,Steubenplatz - Rathaus - Steubenplatz,2019
27.09.2019,17:55 - 20:00,Potsdam,Ice Landscapes (Week4Climate)“.,20,H.-Elflein-Straße 1/ Innenstadt,2019
20.09.2019,16:00 - 19:00,Potsdam,Sondierungsgespräche SPD/Grünen/Linken nicht mutig,2+,Brandenburger Tor,2019
25.09.2019,09:00 - 10:00,Potsdam,Stille Kundgebung für Demokratie und gesellschaftliche Vielfalt anläßlich der konstituierenden Sitzung des Landtages Brandenburg,30,Steubenplatz,2019
01.10.2019,15:30 - 20:00,Potsdam,"Verkehrswende, Mehr Platz fürs Rad, Autos als Gefährder",80,Georg-Hermann-Allee,2019
09.10.2019,13:00 - 14:00,Potsdam,Klimastreik,5-10,Am Kanal 47,2019
29.11.2019,12:00 - 18:00,Potsdam,Klimapaket der Bundesregierung,1000,Innenstadt Potsdam,2019
11.10.2019,11:00 - 12:00,Potsdam,Artenvielfalt retten - Aufnahme in den Koalitionsvertrag,20,Alleestraße 9,2019
12.10.2019,15:00 - 18:00,Potsdam,Gegen den Krieg in Syrien,200,Innenstadt Potsdam,2019
10.10.2019,18:30 - 19:15,Potsdam,Gedenken an die Opfer anlässlich des Angriffes auf die Synagoge in Halle,300-500,Werner-Selenbinder-Straße 4 (Synagoge),2019
24.10.2019,17:00 - 18:00,Potsdam,"Freiheit für Kurdistan, Türkische Invasion in Syrien und Nordirak stoppen",50,Alleestraße 3 (Regine-Hildebrandt-Haus),2019
30.10.2019,16:00 -19:00,Potsdam,Weltspartag - keine Unterstützung mehr duch die Sparkassefür Rüstung u. Kohleabb.,10,Dortustraße/Ecke Brandenburger Straße,2019
15.11.2019,17:30 - 18:00,Potsdam,Klimaschutz - Landesparteitag der SPD,10-20,Am Luftschiffhafen 1 (Kongresshotel),2019
12.11.2019,17:00 - 18:00,Potsdam,Max-Dortu-Gedenksteine-Werfen,50,"Alter Markt, Fortunaportal",2019
25.11.2019,18:00 - 20:00,Potsdam,Internationaler Tag zur Beseitigung von Gewalt gegen Frauen,35,Schopenhauer Straße 10-12,2019
01.11.2019,15:30 - 18:00,Potsdam,Geplante Abholzung des örtlichen Waldes,50,"Waldstadt 2, Heinrich-Mann-Allee 94",2019
02.11.2019,11:00 - 13:00,Potsdam,Auskommen mit dem Einkommen,50-100,Vorplatz Brandenburger Tor,2019
06.11.2019,14:30 - 16:30,Potsdam,Kritik an weiteren stadtplanerischen Projekten in Potsdam,50,Friedrich-Ebert-Straße 80 (vor dem Stadthaus),2019
16.11.2019,16:00 - 18:00,Potsdam,Demo gegen Erdogan und den Krieg in Nordsyrien,200,Alter Amarkt,2019
04.12.2019,14:30 - 16:00,Potsdam,"""Sicherer Hafen vermisst""",20,Friedrich-Ebert-Straße 80 (vor dem Stadthaus),2019
01.12.2019,10:00 - 20:00,Potsdam,Mahnwache zum Klimaschutz,5,,2019
04.12.2019,12:00 - 14:00,Potsdam,Aufstehen gegen Rechtspopulismus u. Klimakatastrophe,2 -30,Otto-Braun-Platz,2019
