Datum,Beginn,Ende,Thema,Ort,Aufzug,Teilnehmer,Absage,sheet_name
2021-04-11 00:00:00,,,Aktionstag Sicherer Hafen Ba-Wü - Sofortige Evakuierung alle Flüchtlinge aus den Flüchtlingslagern an den Außengrenzen der EU und Aufnahme der Flüchtlinge,Schlossplatz,,50,,2021
2021-04-16 00:00:00,,,Wir bestehen auf die ersten 20 Artikel unserer Verfassung,Marktplatz,,150,,2021
2021-04-23 00:00:00,,,Wir bestehen auf die ersten 20 Artikel unserer Verfassung,Marktplatz,,150,,2021
2021-04-30 00:00:00,,,Wir bestehen auf die ersten 20 Artikel unserer Verfassung,Marktplatz,,150,,2021
2021-05-01 00:00:00,,,1. Mai als internationaler Tag der Arbeiter,Marktplatz/Kirchplatz St. Stephan,,100,x,2021
2021-04-12 00:00:00,,,Montagsdemo gegen Hartz IV und Sozialabbau + Konsequenter Gesundheitsschutz: JA! Abwälzung der Krisenlasten auf die Bevölkerung und Abbau demokratischer Rechte und Freiheiten: NEIN!,Marktplatz,,50,,2021
2021-05-05 00:00:00,,,Montagsdemo gegen Hartz IV und Sozialabbau + Konsequenter Gesundheitsschutz: JA! Abwälzung der Krisenlasten auf die Bevölkerung und Abbau demokratischer Rechte und Freiheiten: NEIN!,Marktplatz,,50,,2021
2021-04-14 00:00:00,,,Catcalls of Karlsruhe kreiden an,Europaplatz/Herrenstraße/Marktplatz/Kronenplatz,,2,,2021
2021-04-17 00:00:00,,,Catcalls of Karlsruhe kreiden an,Marktplatz/Zähringer Straße/Bürgerstraße/Europaplatz/Hirschstraße,,2,,2021
2021-04-19 00:00:00,,,Catcalls of Karlsruhe kreiden an,Bernhardstraße/Brunnenstraße/Kapellenstraße/Rüppurer Straße,,2,x,2021
2021-04-18 00:00:00,,,Freiheit - Religion,Schlossplatz,,25,,2021
2021-04-15 00:00:00,,,Maskenfreier Appell,Bundesverfassungsgericht,,50,,2021
2021-04-22 00:00:00,,,Maskenfreier Appell,Bundesverfassungsgericht,,50,,2021
2021-05-12 00:00:00,,,Tag der Pflege - für mehr Personal in Krankenhäuser und Pflegeeinrichtungen,Friedrichsplatz,,80,,2021
2021-04-25 00:00:00,,,Bewegungsmeditation für den inneren und äußeren frieden und gegen die Erstarrung der Herzen,"Park ""Alter Friedhof""",,80,,2021
2021-04-14 00:00:00,,,Für eine offene und freie Debattenkultur - Verbindung statt Spaltung,Marktplatz,,15,,2021
2021-04-24 00:00:00,,,Billigfleisch Mahnwache,Ludwig-Erhard-Allee/Rüppurrer Straße,,2,,2021
