Datum,Beginn,Ende,Ort,Veranstalter,Thema,Teilnehmer
5/11/19,14:00,19:00,"Bahnhofsplatz, 65185 Wiesbaden",DIE LINKE. Wiesbaden,Wahlkampfveranstaltung zur Europa- und OB-Wahl,--
5/17/19,17:00,19:00,"Mauritiusplatz, 65183 Wiesbaden",AIDS-Hilfe Wiesbaden e. V.,Internationaler Tag gegen Homo- und Transphobie,--
5/19/19,15:00,19:00,"Theodor-Heuss-Brücke bis Basketballfeld Reduit, 55252 Mainz-Kastel",Herr Martin Ehrhardt,Wiesbaden - Mainz-Kastel wieder eingemeinden (Die Partei),--
5/23/19,12:00,13:00,"Dernsches Gelände, 65183 Wiesbaden",IG Metall,Die duale Berufsausbildung stärken,--
5/24/19,12:00,15:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Schlossplatz, 65183 Wiesbaden",Frau Emely Dilchert,Fridays for Future - Schüler*innen für den Klimaschutz,--
5/24/19,17:00,20:00,"Schlossplatz, 65183 Wiesbaden",Bündnis 90 / Die Grünen Hessen,Europawahl 2019,--
5/25/19,13:00,17:30,"Bahnhofsplatz, 65185 Wiesbaden, bis Faulbrunnenplatz, 65183 Wiesbaden",#WirSindVielMehr#,"Sozialpolitische Missstände, 5 G, Steuererhöhung usw.",--
5/25/19,14:00,16:00,"Warmer Damm, 65185 Wiesbaden, bis Schlachthof, 65189 Wiesbaden",Warmes Wiesbaden e. V.,Christopher Street Day Wiesbaden,--
5/29/19,9:00,10:30,"Bereich zwischen Marktkirche und Rathaus, 65183 Wiesbaden",Therapeuten am Limit,Bundesweite Abschaffung des Schulgeldes der Heilmittelerbringer sowie Stärkung der Gesundheitsberufe,--
6/5/19,14:00,18:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
6/8/19,12:00,16:00,"Langgasse / Ecke Schützenhofstraße, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
6/13/19,12:00,16:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
6/15/19,12:00,15:00,"Bleichstraße, 65183 Wiesbaden, bis Faulbrunnenplatz, 65183 Wiesbaden","Bündnis ""WohnRaum für ALLE""",Bezahlbarer Wohnraum,--
6/15/19,15:00,18:00,"Langgasse / Ecke Bärengasse, 65183 Wiesbaden",Anonymous for the Voiceless,Tierrechte / Veganismus,--
6/17/19,9:00,12:00,"Georg-August-Zinn-Straße 1, 65183 Wiesbaden",Landesverband Hessen für das Personenbeförderungsgewerbe e. V.,Geplante Novellierung des PBefG,--
6/22/19,10:30,13:30,"Bahnhofsplatz bis Bahnhofsplatz, 65185 Wiesbaden","ver.di Fachbereich Handel, Bezirk Wiesbaden",Tarifrunde Einzel- und Großhandel,--
6/23/19,14:00,16:00,"Dernsches Gelände, 65183 Wiesbaden, bis Kochbrunnenplatz, 65183 Wiesbaden",ADFC Wiesbaden,kidical mass,--
6/26/19,8:00,12:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Kranzplatz, 65183 Wiesbaden",ver.di Bezirk Wiesbaden,Tarifrunde private und öffentliche Banken,--
6/27/19,15:15,16:45,"Schlossplatz, 65183 Wiesbaden",Fridays for Future Wiesbaden,Klimanotstand in Wiesbaden,--
