Datum,Beginn,Ende,Ort,Veranstalter,Thema,Teilnehmer
10/9/21,12:00,22:00,"Goebenstraße Ecke Scharnhorststraße, 65195 Wiesbaden",BRÜCKENSCHLAG - WESTEND e. V.,öffentliche Diskussion zur Situation an der Kreuzung Goebenstraße / Scharnhorststraße,99
10/9/21,13:00,15:00,"Schulgasse Ecke Neugasse, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen - Zwangsimpfung verhindern,25
10/9/21,13:00,16:30,"Kirchgasse Ecke Faulbrunnenstraße, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,10-15
10/9/21,16:30,18:00,"Veilchenweg Ecke Schönaustraße, 65201 Wiesbaden",Frau Larissa Klee,Demo gegen Tiere im Zirkus,20
10/12/21,8:30,13:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Dernsches Gelände, 65183 Wiesbaden",ver.di Bezirk Wiesbaden,Tarifrunde & Besoldungsrunde Land Hessen 2021,500
10/12/21,10:30,13:30,"Langgasse / Kirchgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / Massentierhaltung,2-5
10/13/21,10:00,14:30,"Bahnhofsplatz, 65185 Wiesbaden, bis Kochbrunnenplatz, 65183 Wiesbaden",dbb beamtenbund und tarifunion,Tarifrunde öffentlicher Dienst in Hessen 2021,1.500
10/15/21,9:00,12:30,"Bahnhofsplatz, 65185 Wiesbaden, bis Kochbrunnenplatz, 65183 Wiesbaden",ver.di Bezirk Wiesbaden,Tarifrunden öffentliche und private Banken,300-400
10/15/21,18:00,19:30,"Faulbrunnenplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
10/16/21,13:00,15:00,"Schulgasse Ecke Neugasse, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen / Zwangsimpfung verhindern,25
10/23/21,10:00,17:00,"Kirchgasse Ecke Luisenstraße, 65183 Wiesbaden",Falun Dafa Verein e. V.,Der bösartigen kommunistischen Partei Chinas ein Ende setzen & Organraub in China,3-6
10/23/21,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Iranian Resurgence Party,Solidarität mit dem Widerstand im Iran,8
10/23/21,16:00,18:00,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
10/30/21,13:45,17:30,"Mauritiusplatz, 65183 Wiesbaden",Activists for the Victims,Tierrechte / Veganismus,15-20
11/4/21,16:20,19:20,"Goebenstraße Ecke Scharnhorststraße, 65195 Wiesbaden",Westend-Youth,Freizeitsituation für Jugendliche zu Zeiten von Corona in Wiesbaden,80
11/5/21,17:00,18:00,"Mainzer Straße, 65187 Wiesbaden",Die PARTEI,Erhaltung der Salzbachtalbrücke,30
11/6/21,13:00,15:00,"Schulgasse Ecke Neugasse, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen - Impfpflicht verhindern,15
11/9/21,12:30,14:00,"Marktplatz, 65183 Wiesbaden",ver.di,Übergabe Petition Uniklinikum Gießen/Marburg an den Petitionsausschuss,40
11/12/21,15:30,18:00,"Luisenplatz, 65185 Wiesbaden, bis Friedrich-Ebert-Allee, 65185 Wiesbaden",GEW Landesverband Hessen,A 13 für alle / A 13 für Grundschulprofession,150
11/13/21,13:00,16:30,"Kirchgasse Ecke Faulbrunnenstraße, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,10-15
11/13/21,13:45,17:30,"Marktstraße Ecke Langgasse, 65183 Wiesbaden",Activists for the Victims,Tierrechte / Veganismus,15-20
11/20/21,10:30,16:00,"Marktstraße Ecke Langgasse, 65183 Wiesbaden",Mennoniten-Brüdergemeinde Weißenthurm,Hoffnung für die Menschen,30
11/20/21,12:00,15:00,"Bahnhofsplatz, 65185 Wiesbaden",Iranian Resurgence Party,Solidarität mit dem Widerstand im Iran,8
11/20/21,13:00,15:00,"Schulgasse Ecke Neugasse, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen - Impfpflicht verhindern,25
11/20/21,15:00,16:00,"Reisinger Anlage, 65185 Wiesbaden, bis Schlossplatz, 65183 Wiesbaden",Mosaik e. V.,Internationaler Tag der Kinderrechte,150
11/23/21,15:00,17:00,"Grünfläche neben Sonnenberger Straße 2, 65193 Wiesbaden",Anti Psychiatriebewegung,Falschbehandlungen in den Vitos-Kliniken,50-60
11/25/21,18:00,22:00,"Wallufer Platz, 65197 Wiesbaden, bis Sedanplatz, 65183 Wiesbaden",Bündnis gegen patriarchale Gewalt,Tag gegen patriarchale Gewalt,300
11/27/21,13:00,15:00,"Schulgasse Ecke Neugasse, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen - Impfpflicht verhindern,25
12/1/21,13:00,16:00,"Kochbrunnenplatz, 65183 Wiesbaden",Wir gegen den Impfzwang,Gegen Impfzwang und die Diskriminierung von Ungeimpften,200
12/2/21,10:30,16:00,"Marktstraße Ecke Langgasse, 65183 Wiesbaden",Mennoniten-Brüdergemeinde Weißenthurm,Hoffnung für die Menschen,30
12/3/21,8:30,17:00,"Grabenstraße, 65183 Wiesbaden",Herr Hagen Kopp,Mahnwache zum Untersuchungsausschuss zu Hanau,30
12/3/21,12:30,15:00,"Wettinerstraße Ecke Welfenstraße, 65189 Wiesbaden",Linksjugend [´solid],Politische Bildung,5
12/4/21,13:00,15:00,"Schulgasse Ecke Neugasse, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen - Impfpflicht verhindern,25
12/8/21,15:00,17:30,"Kochbrunnenplatz, 65183 Wiesbaden",Wir gegen den Impfzwang,Gegen Impfzwang und die Diskriminierung von Ungeimpften,400
12/10/21,10:00,12:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Dernsches Gelände, 65183 Wiesbaden",Tigray Verein,Bürgerkrieg in Äthiopien - Genozid am äthiopischen Volk,200
12/11/21,13:45,17:30,"Schulgasse Ecke Neugasse, 65183 Wiesbaden",Activists for the Victims,Tierrechte / Veganismus,15-20
12/15/21,15:00,17:30,"Kochbrunnenplatz, 65183 Wiesbaden",Wir gegen den Impfzwang,Demo gegen Impfzwang und die Diskriminierung von ungeimpften Menschen,300
12/17/21,8:30,18:00,"Grabenstraße, 65183 Wiesbaden",Herr Hagen Kopp,Mahnwache zum Untersuchungsausschuss zu Hanau,30
12/18/21,10:30,16:00,"Marktstraße Ecke Langgasse, 65183 Wiesbaden",Mennoniten-Brüdergemeinde Weißenthurm,Hoffnung für die Menschen,25
12/18/21,11:00,16:00,"Mauergasse Ecke Neugasse, 65183 Wiesbaden",Fridaysforfuture Wiesbaden,"Aufklärung über Umweltschutz, Klimagerechtigkeit und Klimawandel",5-10
12/18/21,16:00,17:30,"Dernsches Gelände, 65183 Wiesbaden",Rudergesellschaft Wiesbaden-Biebrich 1888 e. V.,Protest zur Untätigkeit der Stadtverwaltung am Schiersteiner schwimmenden Bootshaus,25
12/18/21,12:00,15:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Greenpeace,Verkehrswende,8
12/20/21,8:30,18:00,"Grabenstraße, 65183 Wiesbaden",Herr Hagen Kopp,Mahnwache zum Untersuchungsausschuss zu Hanau,30
12/20/21,18:00,21:00,"Theodor-Heuss-Brücke, 55252 Mainz-Kastel, bis Theodor-Heuss-Brücke, 55252 Mainz-Kastel",Schilderlauf,Schilderlauf gegen die gesellschaftliche Spaltung,75
12/27/21,18:00,21:00,"Theodor-Heuss-Brücke, 55252 Mainz-Kastel, bis Theodor-Heuss-Brücke, 55252 Mainz-Kastel",Schilderlauf,Schilderlauf gegen die gesellschaftliche Spaltung,75
12/30/21,14:00,15:30,"Bleichwiesenstraße, 65203 Wiesbaden",Frau Larissa Klee,gegen Tiere im Zirkus,20
,,,,,,
1/8/22,10:00,15:00,"Mauergasse Ecke Neugasse, 65183 Wiesbaden",Fridaysforfuture Wiesbaden,"Aufklärung über Umweltschutz, Klimagerechtigkeit und Klimawandel und das Basteln eines großen ""X"" unter dem Hashtag #Lützibleibt",4-10
1/8/22,13:45,17:15,"zwischen Kirchgasse 6 & 15, 65183 Wiesbaden",Activists for the Victims e. V.,Tierrechte / Veganismus,15-20
1/8/22,16:00,19:00,"Murnaustraße 1, 65189 Wiesbaden",Fridaysforfuture Wiesbaden,"Aufklärung über Umweltschutz, Klimagerechtigkeit und Klimawandel und das Basteln eines großen ""X"" unter dem Hashtag #Lützibleibt",4-10
1/15/22,10:30,15:00,"Marktstraße Ecke Langgasse, 65183 Wiesbaden",Mennoniten-Brüdergemeinde Weißenthurm,Hoffnung für die Menschen,25
1/15/22,16:00,18:00,"Marktstraße Ecke Langgasse, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
1/21/22,8:30,18:00,"Marktplatz, 65183 Wiesbaden",Hagen Kopp,Mahnwache zum Untersuchungsausschuss zu Hanau,30
1/22/22,13:45,17:15,"Mauritiusplatz, 65183 Wiesbaden",Activists for the Victims e. V.,Tierrechte / Veganismus,15-20
1/27/22,16:30,17:30,"Dernsches Gelände, 65183 Wiesbaden",Rudergesellschaft Wiesbaden-Biebrich 1888 e. V.,Protest zur Sperrung des Schulboothauses im Schiersteiner Hafen,80
1/27/22,17:00,18:30,"Coulinstraße, 65183 Wiesbaden, bis Bahnhofstraße, 65185 Wiesbaden",Omas gegen Rechts-Wiesbaden,Holocaust-Gedenken,60
1/29/22,16:00,17:30,"Marktstraße Ecke Langgasse, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
2/1/22,17:00,19:00,"Sedanplatz, 65183 Wiesbaden",Katharina Wender,Femizide stoppen!,50
2/3/22,13:00,16:00,"Dernsches Gelände, 65183 Wiesbaden",Gewerkschaft Erziehung und Wissenschaft Hessen,Betroffene der Berufsverbote rehabilitieren und entschädigen,20-25
2/5/22,11:00,18:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Bahnhofsplatz, 65185 Wiesbaden",Bündnis gegen Verschwörungstheorien und Polizeigewalt,Solidarität statt Verschwörungsmythen,70
2/5/22,11:30,15:00,"Reisinger Anlage, 65185 Wiesbaden, bis Reisinger Anlage, 65185 Wiesbaden",Achim Weinacker,Impf-Info-Marathon - das Finale: soll ich mein Kind impfen lassen?,500
2/5/22,13:45,17:15,"Mauritiusplatz, 65183 Wiesbaden",Activists for the Victims e. V.,Tierrechte / Veganismus,15-20
2/7/22,8:00,17:30,"Dernsches Gelände, 65183 Wiesbaden",Hagen Kopp,Mahnwache zum Untersuchungsausschuss zu Hanau,30
2/12/22,12:00,15:00,"Kirchgasse, 65183 Wiesbaden, bis Kirchgasse, 65183 Wiesbaden",Greenpeace,Verkehrswende Hessen,10
2/12/22,13:00,16:30,"Kirchgasse Ecke Faulbrunnenstraße, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrechte / gegen Massentierhaltung,10
2/14/22,13:00,17:00,"Dostojewskistraße, 65187, bis Schlossplatz, 65183 Wiesbaden",One billion rising,One Billion Rising 2022 - eine weltweite Aktion gegen Gewalt an Frauen,20-30
2/19/22,13:45,17:15,"Kirchgasse 6, 65183 Wiesbaden",Activists for the Victims e. V.,Tierrechte / Veganismus,15-20
2/19/22,17:00,18:30,"Luisenplatz, 65185 Wiesbaden",Omas gegen Rechts Wiesbaden,Gedenken an die Morde von Hanau,100-120
2/19/22,19:00,21:00,"Dernsches Gelände, 65183 Wiesbaden",Dezernat I / Protokoll,saytheirname / Gedenken an Opfer von Hanau,100
2/24/22,10:00,12:00,"Reisinger Anlage, 65185 Wiesbaden",ver.di Bezirk Wiesbaden,Tarifrunde HLT,30-40
2/25/22,12:00,12:15,"Robert-Krekel-Anlage, 65203 Wiesbaden",Evangelische Hoffnungsgemeinde,Krieg in der Ukraine,20
2/25/22,18:00,20:00,"Dernsches Gelände, 65183 Wiesbaden",Bündnis für Demokratie,Krieg in der Ukraine,300
2/26/22,11:30,12:30,"Mauritiusplatz, 65183 Wiesbaden",Seebrücke Wiesbaden,Don't forget Afghanistan,60
2/26/22,14:00,16:00,"Bahnhofsplatz, 65185 Wiesbaden",Sooriyakumary Boopathy-Balavadivetkaran,andauernder Völkermord an Eelam Tamilen in Sri Lanka,30
2/26/22,16:00,17:30,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
2/26/22,14:00,16:00,"Schlossplatz, 65183 Wiesbaden","JuLis WI, Jusos WI, Grüne Jugend WI, JU WI",Stand with Ukraine,100
2/28/22,10:00,16:00,"Hauptstraße, 55246 Mainz-Kostheim, bis Am Parkfeld, 65203 Wiesbaden",Udo Bergfeld,"Wirtschafts-, Gesundheits- und Umweltpolitik",30-100
3/2/22,18:00,19:00,"Günther Bastian Brunnen, Vogelsangstraße 1, 65207 Wiesbaden",SPD Ortsverein Heßloch / CDU Ortsverein Heßloch,Solidarität für die Ukraine,40-50
3/3/22,16:30,18:30,"Dernsches Gelände, 65183 Wiesbaden",Fridaysforfuture Wiesbaden,Ukraine (Internationaler Aktionstag),200
3/4/22,14:00,16:00,"Dernsches Gelände, 65183 Wiesbaden",Arnulf Dietl,"gegen Putins Angriffskrieg, für ein vereintes Europa",10-30
3/5/22,13:45,17:15,"Mauritiusplatz, 65183 Wiesbaden",Activists for the Victims e. V.,Tierrechte / Veganismus,15 - 20
3/5/22,14:30,18:00,"Bahnhofsplatz, 65185 Wiesbaden",Bündnis gegen Faschismus und Verschwörungsideologien,Kein Platz der AfD und ihrer Anti-Impfpropaganda,200
3/5/22,15:00,17:00,"Reisinger Anlage, 65185 Wiesbaden",Alternative für Deutschland Landesverband,Gesund ohne Zwang,300-400
3/7/22,9:00,18:00,"Dernsches Gelände, 65183 Wiesbaden",Hagen Kopp,Mahnwache zum Untersuchungsausschuss zu Hanau,30
3/8/22,12:00,13:45,"Dernsches Gelände, 65183 Wiesbaden, bis Wellritzstraße, 65183 Wiesbaden","ver.di Vereinte Dienstleistungsgewerkschaft, Bezirk Wiesbaden",Veranstaltung im Rahmen der Tarifrunde im Sozial- und Erziehungsdienst und des Internationalen Frauentags 2022,20-30
3/8/22,12:00,15:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Murnaustraße, 65185 Wiesbaden",Kollektiv_Fleischgarten,Rape Culture,200
3/8/22,16:00,16:45,"Geschwister-Stock-Platz, 65185 Wiesbaden",Landeshauptstadt Wiesbaden Dezernat I / Protokoll,"Gedenkstunde ""-Deportation der Wiesbadener Sinti in das KZ Auschwitz 1943-""",30
3/8/22,18:00,22.00,"Luisenplatz, 65185 Wiesbaden, bis Bahnhofsplatz, 65185 Wiesbaden",Katharina Wender,Feministischer Frauenkampftag,200
3/9/22,18:00,18:15,"Robert-Krekel-Anlage, 65203 Wiesbaden",Evangelische Hoffnungsgemeinde Wiesbaden,Krieg in der Ukraine,20
3/11/22,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Arnulf Dietl,"gegen Putins Angriffskrieg, für ein vereintes Europa",10-30
3/12/22,13:00,16:30,"Kirchgasse Ecke Faulbrunnenstraße, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,10
3/12/22,16:15,20:15,"Dernsches Gelände, 65183 Wiesbaden",Offene Gesellschaft Kurpfalz,"Demokratische Streitkultur, Pressefreiheit & Frieden",150-300
3/12/22,18:30,20:30,"Faulbrunnenplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
3/13/22,15:00,18:00,"Dernsches Gelände, 65183 Wiesbaden",Palast Promotion GmbH und Schlachthof e. V.,Kundgebung und Kultur für Frieden und gegen den Krieg in der Ukraine,2.000
3/15/22,14:00,16:00,"Bertramstraße, 65185 Wiesbaden, bis Marktplatz, 65183 Wiesbaden",Deutsch Somalische Gemeinde,Versammlung gegen Unrecht somalischer Mitbürger,150
3/15/22,18:30,19:30,"Ferrutius-Platz, 65207 Wiesbaden",OrtsVereinsRing Wi.-Kloppenheim e. V.,Mahnwache für den Frieden,50
3/15/22,18:30,19:30,"Am Dorfplatz, 65207 Wiesbaden",Ortsbeirat Breckenheim,Solidarität mit der Ukraine,50
3/15/22,18:30,20:00,"Am Dorfbrunnen, 65207 Wiesbaden",Ortsbeirat Rambach,Ukrainekrieg,50
3/16/22,10:00,14:00,"Schulgasse Ecke Neugasse, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,"Corona Maßnahmen, drohender Impfzwang",20
3/16/22,18:00,18:15,"Robert-Krekel-Anlage, 65203 Wiesbaden",Evangelische Hoffnungsgemeinde Wiesbaden,Krieg in der Ukraine,20
3/18/22,10:30,18:00,"Dernsches Gelände, 65183 Wiesbaden",Hagen Kopp,Mahnwache zum Untersuchungsausschuss zu Hanau,30
3/19/22,13:45,17:15,"Kirchgasse 6, 65183 Wiesbaden",Activists for the Victims e. V.,Tierrechte / Veganismus,15-20
3/20/22,14:00,14:15,"Alfred-Schumann-Straße, 65201 Wiesbaden, bis Pfarrer-Schäfer-Weg, 65201 Wiesbaden","Schönstattbewegung im Bistum Limburg und Katholische Pfarrei St. Peter und Paul, Schierstein",Frieden in der Ukraine,1.000
3/20/22,14:00,17:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Dernsches Gelände, 65183 Wiesbaden",Hessen Tour,Internationaler Tag gegen Rassismus,300
3/20/22,15:00,16:15,"Dernsches Gelände, 65183 Wiesbaden, bis Walkmühltalanlagen, 65195 Wiesbaden",ADFC Wiesbaden,Kidical Mass Wiesbaden,100
3/23/22,18:00,18:15,"Robert-Krekel-Anlage, 65203 Wiesbaden",Evangelische Hoffnungsgemeinde Wiesbaden,Krieg in der Ukraine,20
3/24/22,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Arnulf Dietl,"gegen Putins Angriffskrieg, für ein vereintes Europa",10-30
3/24/22,17:30,19:00,"Marktstraße Ecke Langgasse, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
3/25/22,14:30,17:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Schlossplatz, 65183 Wiesbaden",Fridays for Future Wiesbaden,People not Profit,800-1.000
3/26/22,16:00,17:30,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
3/29/22,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Arnulf Dietl,"gegen Putins Angriffskrieg, für ein vereintes Europa",10-30
3/30/22,18:00,18:15,"Robert-Krekel-Anlage, 65203 Wiesbaden",Evangelische Hoffnungsgemeinde Wiesbaden,Krieg in der Ukraine,20
3/30/22,9:00,11:00,"Bahnhofstraße 69, 65185 Wiesbaden",ver.di Bezirk Wiesbaden,Tarifrunde privates Versicherungsgewerbe,50
3/31/22,10:00,11:30,"Reduit, 55252 Mainz-Kastel, bis Reduit, 55252 Mainz-Kastel",Gewerkschaft Erziehung und Wissenschaft,Tarifverhandlungen kommunaler Sozial- und Erziehungsdienst,100
4/1/22,10:30,18:00,"Marktplatz, 65183 Wiesbaden",Hagen Kopp,Mahnwache zum Untersuchungsausschuss zu Hanau,30
4/2/22,12:00,15:00,"Schlossplatz, 65183 Wiesbaden",Omas gegen Rechts Wiesbaden,"Gedenken aller an Corona-Verstorbenen, Dank an alle im Gesundheitsbereich Beschäftigten, Aufruf zu solidarischem und verantwortungsbewussten Verhalten in der Corona-Krise",120
4/2/22,13:45,17:15,"Marktstraße Ecke Langgasse, 65183 Wiesbaden",Activists for the Victims e. V.,Tierrechte / Veganismus,15-20
4/6/22,18:00,18:15,"Robert-Krekel-Anlage, 65203 Wiesbaden",Evangelische Hoffnungsgemeinde Wiesbaden,Krieg in der Ukraine,20
4/7/22,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Arnulf Dietl,"gegen Putins Angriffskrieg, für ein vereintes Europa",10-30
4/9/22,13:00,16:30,"Kirchgasse Ecke Faulbrunnenstraße, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,10
4/9/22,16:00,17:30,"Marktstraße Ecke Langgasse, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
4/13/22,18:00,18:15,"Robert-Krekel-Anlage, 65203 Wiesbaden",Evangelische Hoffnungsgemeinde Wiesbaden,Krieg in der Ukraine,20
4/14/22,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Arnulf Dietl,"gegen Putins Angriffskrieg, für ein vereintes Europa",10-30
4/16/22,9:00,16:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Mauritiusplatz, 65183 Wiesbaden",Ostermarschinitiative Mainz / Wiesbaden,"Für eine Welt ohne Krieg, Militär und Gewalt",300
4/16/22,14:00,16:00,"Kirchgasse Höhe Faulbrunnenstraße, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
4/17/22,14:15,16:45,"Kaiser-Friedrich-Ring, 65185 Wiesbaden",Kai Börner,"Illegales Einkesseln, illegale Bußgeldbescheide - Nein, Wiesbaden, nicht mit uns!",20
4/19/22,17:30,19:00,"Marktstraße Ecke Langgasse, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
4/20/22,18:00,18:15,"Robert-Krekel-Anlage, 65203 Wiesbaden",Evangelische Hoffnungsgemeinde Wiesbaden,Krieg in der Ukraine,20
4/22/22,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Arnulf Dietl,"gegen Putins Angriffskrieg, für ein vereintes Europa",10-30
4/25/22,12:30,18:00,"Dernsches Gelände, 65183 Wiesbaden",Hagen Kopp,Mahnwache zum Untersuchungsausschuss zu Hanau,30
4/26/22,8:00,10:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Bahnhofsplatz, 65185 Wiesbaden","Vereinte Dienstleistungsgewerkschaft ver.di, Bezirk Wiesbaden",Tarifverhandlungen Sozial- und Erziehungsdienst,120
4/27/22,18:00,18:15,"Robert-Krekel-Anlage, 65203 Wiesbaden",Evangelische Hoffnungsgemeinde Wiesbaden,Krieg in der Ukraine,20
4/28/22,14:00,17:30,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / Massentierhaltung,2-5
4/28/22,15:00,17:00,"Mauritiusplatz, 65183 Wiesbaden",-,"gegen Putins Angriffskrieg, für ein vereintes Europa",10-30
4/29/22,9:00,22:00,"Reisinger Anlage, 65185 Wiesbaden",Ahmadiyya Muslim Jugendorganisation,Welt aus den Fugen - Stoppt den Weltkrieg,150-300
4/30/22,13:45,17:15,"Mauritiusplatz, 65183 Wiesbaden",Activists for the Victims e. V.,Tierrechte / Veganismus,15-20
4/30/22,19:00,22:00,"Dernsches Gelände, 65183 Wiesbaden, bis Murnaustraße, 65185 Wiesbaden",Stella Vittali,Walpurgisnacht Tanzdemo,300
5/1/22,9:00,15:00,"Kochbrunnenplatz, 65183 Wiesbaden",DGB Wiesbaden Rheingau-Taunus,1. Mai Kundgebung und Demonstration ,300
5/4/22,7:30,12:00,"Fußgängerzone, 65183 Wiesbaden","Landeshauptstadt Wiesbaden, Stabsstelle Wiesbadener Identität - Engagement - Bürgerbeteiligung",Überall Wasser,500-600
5/4/22,18:00,18:15,"Robert-Krekel-Anlage, 65203 Wiesbaden",evangelische Hoffnungsgemeinde Wiesbaden,Krieg in der Ukraine,15
5/5/22,15:00,17:00,"Mauritiusplatz, 65183 Wiesbaden",Arnulf Dietl,"gegen Putins Angriffskrieg, für ein vereintes Europa",10-30
5/7/22,10:30,14:00,"Marktstraße Ecke Neugasse, 65183 Wiesbaden",BüSo LV Hessen,Keinen Krieg gegen Russland,3-5
5/7/22,11:00,12:30,"Marktplatz, 65183 Wiesbaden",Europa-Union-Deutschland,Treffen am Europa-Baum,20
5/10/22,16:00,20:00,"Marktplatz, 65183 Wiesbaden",Medinetz Marburg und Medinetz Gießen,Medizinische Versorgung für alle,50-100
5/11/22,8:30,11:30,"Resinger Anlage, 65185 Wiesbaden, bis Reisinger Anlage, 65185 Wiesbaden","Vereinte Dienstleistungsgewerkschaft ver.di, Landesbezirk Hessen",Warnstreik,200
5/11/22,18:00,18:15,"Robert-Krekel-Anlage, 65203 Wiesbaden",evangelische Hoffnungsgemeinde Wiesbaden,Krieg in der Ukraine,15
5/12/22,15:00,17:00,"Mauritiusplatz, 65183 Wiesbaden",Arnulf Dietl,"gegen Putins Angriffskrieg, für ein vereintes Europa",10-30
5/14/22,15:00,16:30,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
5/15/22,15:00,16:15,"Dernsches Gelände, 65183 Wiesbaden, bis Homburger Straße, 65197 Wiesbaden",ADFC Wiesbaden,Kidical Mass Wiesbaden,200
5/16/22,9:00,18:00,"Dernsches Gelände, 65183 Wiesbaden",Hagen Kopp,Mahnwache zum Untersuchungsausschuss zu Hanau,30
5/17/22,15:00,18:30,"Mauritiusplatz, 65183 Wiesbaden",Warmes Wiesbaden e. V.,IDAHOBIT,20-40
5/18/22,18:00,18:15,"Robert-Krekel-Anlage, 65203 Wiesbaden",evangelische Hoffnungsgemeinde Wiesbaden,Krieg in der Ukraine,15
5/21/22,12:00,15:00,"Langgasse Ecke Schützenhofstraße, 65183 Wiesbaden",Greenpeace Mainz-Wiesbaden,Verkehrswende Hessen,10
5/21/22,13:00,14:30,"Kirchgasse Ecke Faulbrunnenstraße, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
5/23/22,17:30,18:30,"Bahnhofsplatz, 65185 Wiesbaden, bis Aarstraße, 65195 Wiesbaden",ADFC Wiesbaden,Aufstellung Geisterrad,30-50
5/25/22,18:00,18:15,"Robert-Krekel-Anlage, 65203 Wiesbaden",evangelische Hoffnungsgemeinde Wiesbaden,Krieg in der Ukraine,15
5/27/22,13:00,16:30,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / Massentierhaltung,2-5
5/28/22,13:45,17:15,"Kirchgasse 6, 65183 Wiesbaden",Activists for the Victims e. V.,Tierrechte / Veganismus,15-20
5/28/22,14:00,16:00,"Warmer Damm, 65189 Wiesbaden, bis Murnaustraße, 65189 Wiesbaden",Warmes Wiesbaden e. V.,Christopher Street Day Wiesbaden (CSD),2.000
5/30/22,19:15,19:45,"Theodor-Heuss-Brücke, 55252 Mainz-Kastel, bis Theodor-Heuss-Brücke, 55252 Mainz-Kastel",Mainzer Schilderlauf,"Mainzer Schilderlauf für einen friedlichen Austausch gegen Krieg, Ausgrenzung, Spaltung + Impfpflicht",50-100
5/31/22,14:00,19:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Kochbrunnenplatz, 65183 Wiesbaden",Udo Bergfeld,"Umwelt-, Wirtschafts- und Gesundheitspolitik",50-250
6/1/22,18:00,18:15,"Robert-Krekel-Anlage, 65203 Wiesbaden",Evangelische Hoffnungsgemeinde Wiesbaden,Krieg in der Ukraine,15
6/2/22,15:00,17:00,"Dernsches Gelände, 65183 Wiesbaden",Arnulf Dietl,"gegen Putins Angriffskrieg, für ein vereintes Europa",10-30
6/9/22,15:00,17:00,"Dernsches Gelände, 65183 Wiesbaden",Arnulf Dietl,"gegen Putins Angriffskrieg, für ein vereintes Europa",10-30
