Datum,Ort (ausschließlich Dresden),Thema,Teilnehmer,sheet_name
2021-02-07,Wettiner Platz - Synagoge,Mahngang Täterspuren,40,2021
2021-02-08,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200,2021
2021-02-08,Kreuzkirche,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",100,2021
2021-02-08,Altmarkt,Geradedenken,25,2021
2021-02-13,Rathausplatz,Tu was gegen rechts - Demokratie stärken,5,2021
2021-02-13,Wiener Platz,"Vergesst niemals Dresden!
Feierstunde zu Ehren der Dresdner Luftkriegstoten des 13. Februar 1945.
Dresden-Gedenken 2021
",300,2021
2021-02-13,Altmarkt,Gedenkveranstaltung anlässlich der Bebombung Dresdens,100,2021
2021-02-13,Altmarkt,Für Frieden und Völkerverständigung - Gegen den Missbrauch des Datum 13. Februar durch rechtsextrem Kreise,100,2021
2021-02-13,Altmarkt,Gedenken 13. Februar,100,2021
2021-02-13,Lingnerallee,Nazis raus aus der Innenstadt,200,2021
2021-02-13,Bahnhof Mitte,Nazis raus,300,2021
2021-02-13,Münchner Platz – Altmarkt - Theaterplatz - Schlesischen Platz,Für eine kritische Erinnerungspolitik - Gegen Geschichtsrevisionismus und Rechtsextremismus,1000,2021
2021-02-13,Neumarkt,"Nie wieder Faschismus, nie wieder Krieg",10,2021
2021-02-13,Altmarkt,Mahnwache ,3,2021
2021-02-13,Seestraße,Mahnwache,3,2021
2021-02-13,Wiener Platz,13. Februar nazifrei - No Pasaran,200,2021
2021-02-13,Altmarkt,Stilles Gedenken,10,2021
2021-02-13,Neumarkt,Stilles Gedenken vor der Frauenkirche Dresden - wahrhaftig erinnern - versöhnt leben´,300,2021
2021-02-13,Altnickern,"Kein Platz für Nazis, weg mit dem Opfermythos!",20,2021
2021-02-13,Friedrich-List-Platz,Maske auf - Nazi raus,50,2021
2021-02-15,Altmarkt,Geradedenken,25,2021
2021-02-15,Kreuzkirche,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",100,2021
2021-02-15,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200,2021
2021-02-16,Landtag,Gedenkveranstaltung,100,2021
2021-02-18,Altmarkt,Protest der Friseure und Kosmetiker,500,2021
2021-02-19,Landtag,Kundgebung von Fahrschulen aus Sachsen,250,2021
2021-02-19,Jorge-Gomondai-Platz,Wir klagen an! Ein Jahr nach dem rassistischen Terroranschlag in Hanau,600,2021
2021-02-20,Pieschener Allee,Für eine lautstarke Aufklärung der Bevölkerung - Autokorso,400,2021
2021-02-22,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500,2021
2021-02-22,Altmarkt,GERADEDENKEN,25,2021
2021-02-22,Altmarkt,Grundgesetz und Demokratie schützen,350,2021
2021-02-22,Altmarkt,"Jetzt erst Recht, Querdenker*innen und Rassisten*innen entgegen treten",400,2021
2021-02-22,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200,2021
2021-02-27,Jorge-Gomondai-Platz,Die Zeit ist reif - Freiheit für Öcalan,200,2021
2021-02-27,Hauptallee,Verhältnismässigkeit der Corona-Maßnahmen,30,2021
2021-02-28,Külz-Ring/Ostra-Allee/Lindenau-Platz/Archivstraße/treu-Platz,Denk ich an Deutschland in der Nacht... (Unternehmer stellen Fragen),30,2021
2021-03-01,Altmarkt,GERADEDENKEN,25,2021
2021-03-01,Neumarkt,"Initiative Leere
Stühle",700,2021
2021-03-01,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500,2021
2021-03-01,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200,2021
2021-03-03,Bernhard-von-Lindenau-Platz,Lockdown beenden,2,2021
2021-03-06,Dresden - Leipzig,Gemainsam für Demokratie usw.,500,2021
2021-03-08,Königsufer,Feministischer Streikposten,100,2021
2021-03-08,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500,2021
2021-03-08,Altmarkt,GERADEDENKEN,80,2021
2021-03-08,Altmarkt,"Für Bürgerrechte, Frieden und Meinungsfreiheit",400,2021
2021-03-08,Maxim-Gorki-Straße,Fürs Leben lernen? Fürs Leben kämpfen!,100,2021
2021-03-10,Oschatzer Straße,Trauerkundgebung zum Abschied von Halil Sen,300,2021
2021-03-11,Roßbachstraße,Putzi bleibt,25,2021
2021-03-13,Elbwiese,Mit Anstand und Abstand gegen Nazis und Antisemit:innen,1000,2021
2021-03-13,Carolabrücke,Solidarisch gegen die Pandemie - Verantwortung zeigen statt querdenken!,30,2021
2021-03-13,Königsufer,Gegenprotest zu Querdenken,50,2021
2021-03-13,Brühlsche Terrassen,Querdenken und Nazis Hand in Hand - Unsere Antwort: Widerstand,30,2021
2021-03-13,Landtag,Es reicht - 1 Jahr Lockdown ist genug!,100,2021
2021-03-13,Altmarkt,GERADEDENKEN,300,2021
2021-03-13,Cockerwiese,Querdenken entgegentreten,300,2021
2021-03-13,Neumarkt,"Die Kirche im Dorf lassen´ - Protest gegen die Ausweitung des Tagebaus Garzweiler 3
",3,2021
2021-03-13,Prager Straße,Stoppt den Organraub an lebenden Falun Gong Praktizierenden in China!,10,2021
2021-03-13,Prager Straße,Belarus. Briefe an politische Gefangene in Belarus,30,2021
2021-03-13,Neumarkt,Gegen Testpflicht an Schulen,150,2021
2021-03-15,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500,2021
2021-03-15,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200,2021
2021-03-15,Jorge-Gomondai-Platz,Internationaler Tag gegen Polizeigewalt,50,2021
2021-03-15,Altmarkt,"Jetzt erst Recht, Querdenker*innen und Rassisten*innen entgegen treten",400,2021
2021-03-16,Hamburger Dtraße,Stop Deportations! Keine Abschiebungen nach Pakistan,100,2021
2021-03-19,Terrassenufer,"Jahrestag des Lockdowns und damit der dadurch seitdem immer noch andauernde Stillstand in der
Kulturbranche",11,2021
2021-03-19,Stadtgebiet,1000 Kreuzungen,500,2021
2021-03-21,Elbufer,Solidarität mit den Yezid*innen im Shengal - Newroz für einen internationalistischen Frühling,70,2021
2021-03-22,Altmarkt,Grundgesetz und Demokratie schützen,500,2021
2021-03-22,Altmarkt,"Wir fordern, das der 6.Senat des SOVG vor dem Internationalen Strafgerichtshof in Den Haag angeklagt wird, weil dieser sich gem. § 7 Abs. 1 Nr. 10 des Völkerstrafgesetzbuches duch seine Rechtssprechung …",500,2021
2021-03-22,Alaunplatz - Altmarkt,Querdenken und Nazis Hand in Hand - UNSERE ANTWORT: WIDERSTAND! ,100,2021
2021-03-22,Altmarkt,Geradedenken,80,2021
2021-03-29,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500,2021
2021-03-29,Altmarkt,Geradedenken,200,2021
2021-04-03,Neumarkt,Dresden zum sicheren Hafen ,50,2021
2021-04-03,Hauptallee,Verhältnismäßigkeit der Corona-Maßnahmen,200,2021
2021-04-03,Theaterplatz,Klar statt Querdenken,1000,2021
2021-04-05,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500,2021
2021-04-10,Messering,Gegen Hetze und Verantwortslosigkeit - keinen Millimeter nach rechts!,200,2021
2021-04-10,Messering,Versammlungen - Räume gelebter Demokratie,7,2021
2021-04-10,Messering,Fahrradkorso gegen Faschismus - alle zusammen gegen den Parteitag der AfD,40,2021
2021-04-10,Messering,"feministisch, antifaschistisch, solidarisch - Gemeinsam gegen den Bundesparteitag der AfD",100,2021
2021-04-11,Messering,Versammlungen - Räume gelebter Demokratie,7,2021
2021-04-12,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500,2021
2021-04-12,Altmarkt,"Für Bürgerrechte, Frieden und Meinungsfreiheit",500,2021
2021-04-12,Altmarkt,Geradedenken,80,2021
2021-04-12,Fritz-Förster-Platz,Präsent für Präsenz,50,2021
2021-04-17,Theaterplatz,"Jetzt erst Recht, Querdenkerinnen und Rassisteninnen entgegen treten",250,2021
2021-04-17,Akademiestraße,Nationalismus und Rassismus entgegentreten,50,2021
2021-04-17,Königsufer ,Menschen mit Liebe für Reptiloid,100,2021
2021-04-17,Cockerwiese,Querdenken entgegentreten,300,2021
2021-04-17,Neumarkt,Solidarisch gegen die Pandemie - Verantwortung zeigen statt querdenken,200,2021
2021-04-17,Altmarkt,Solidarisch gegen die Pandemie - Verantwortung zeigen statt querdenken,200,2021
2021-04-18,Carolaplatz,Keinen Meter den Nazis,100,2021
2021-04-18,Carolaplatz,Linksterror stoppen - Antifa verbieten,30,2021
2021-04-18,Neustädter Hafen,Dresden zum sicheren Hafen machen,70,2021
2021-04-19,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500,2021
2021-04-19,Neumarkt,Geradedenken,50,2021
2021-04-20,Rathausplatz,"Politische Kundgebung. Gegen Rechtsextremismus, Rassismus und Antisemitismus",250,2021
2021-04-24,Neumarkt,Es reicht! Wir machen den Mund auf!,500,2021
2021-04-26,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500,2021
2021-04-26,Neumarkt,Geradedenken,80,2021
2021-05-01,Dresden  - Größschönau,Autokorso zur Wiederherstellung der Demokratie und Grundrechte,200,2021
2021-05-01,Schützenplatz,Solidarität ist Zukunft,15,2021
2021-05-01,Alaunplatz,politische Austausch zum 1. Mai,600,2021
2021-05-01,Goldener Reiter,"Berufsverbot, Insolvenzen, Kurzarbeit, Arbeitslosigkeit und die Auswirkung auf jeden von uns",500,2021
2021-05-01,Wiener Platz,Kundgebung zum 1. Mai,50,2021
2021-05-01,Wettiner Platz,Soldarität ist Zukunft“,20,2021
2021-05-01,Prager Straße,Stoppt den Organraub an lebenden Falun Gong Praktizierenden in China,10,2021
2021-05-01,Terrassenufer,Wir für Sport – Initiative für eine kontrollierte Öffnung der Sportstätten,20,2021
2021-05-01,Bautzner Straße,2021-05-01 00:00:00,50,2021
2021-05-01,Filmnächteareal,"1.Mai, Tag der Arbeit",20,2021
2021-05-01,Neustädter Markt,Internationaler Kampftag der Arbeiterklasse,20,2021
2021-05-01,Jorge-Gomondai-Platz,Internationaler Kampftag der Arbeiterklasse,20,2021
2021-05-02,Albertstraße,Protest gegebn die aktuelle Schließungsvorgabe des SMS - Hier zerplatzen Blumenträume,40,2021
2021-05-03,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500,2021
2021-05-03,Altmarkt,Geradedenken,80,2021
2021-05-03,Altmarkt,"Für Bürgerrechte, Frieden und Meinungsfreiheit",500,2021
2021-05-08,Neumarkt,"Nie wieder Faschismus, nie wieder Krieg",50,2021
2021-05-08,Altmarkt,Es reicht! Wir machen den Mund auf!,500,2021
2021-05-08,Hammerweg,Ihr seid keine Sicherheit - Gegen Rassismus und Nazis in den Sicherheitsbehörden,30,2021
2021-05-08,Brühischen Garten,"Mahnwache an den Stoipersteinen - zur Erinnerung an die deportierten Männer, Frauen und Kinder",5,2021
2021-05-10,Altmarkt,Geradedenken,80,2021
2021-05-10,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500,2021
2021-05-14,Prager Straße,Gegen die Besetzung von paiästinensischen Wohnraum in Sheika Ai Jarrah durch Israel. Free Palestina,100,2021
2021-05-15,Königsufer,Querdenkern den Tag versauen!,100,2021
2021-05-15,Hauptallee 10,Für eine lebenswerte Zukunft,10,2021
2021-05-17,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500,2021
2021-05-17,Altmarkt,Geradedenken,80,2021
2021-05-17,Altmarkt,"Für Bürgerrechte, Frieden und Meinungsfreiheit",500,2021
2021-05-17,Alaunplatz-Görlitzer Str.-Louisenstr.-Albertplatz-Ritterstr.-Albertstr.-Carolaplatz-Petersburger Str.-Dr.-Külz-Ring-Postplatz-Altmarkt,Querdenken und Nazis Hand in Hand - UNSERE ANTWORT: WIDERSTAND! ,150,2021
2021-05-21,"Hammer 26, OLG",Emanzipatorisch gegen Islamismus und Queerfeindlichkeit,50,2021
2021-05-21,Altmarkt,Gegen die Angriffe des Landes Israel.,500,2021
2021-05-22,Bautzner Straße,Situation der Pflege/Jugend,15,2021
